Complexity,Loss,Equation
1,0.072869636,"x26"
3,0.066634126,"x26 * 0.8514915"
5,0.061897844,"x26 - (-0.040386043 / x2)"
7,0.047284815,"(x26 - (-0.0749887 / x2)) / 1.3178948"
9,0.037288688,"((0.18442003 / x2) + x26) / (x26 + 1.6578804)"
11,0.024142645,"((0.119086854 / x2) + x26) / ((x26 * 0.4564262) + 1.2370589)"
13,0.022356441,"(x26 + (0.06802142 / (x2 + -0.053975027))) / ((x26 * 0.41786772) + 1.2460011)"
15,0.021501703,"((0.13631095 / x2) / ((x26 / ((-0.956646 * x26) + 0.92984194)) + 1.4363681)) + x26"
17,0.013956712,"((0.1805891 / x2) / ((x26 / ((x26 * -1.0336406) + 1.1278714)) + 1.3741162)) + (-0.11510857 + x26)"
19,0.013529761,"((0.20008452 / x2) / (1.4659461 + (x26 / ((x26 * -0.95001155) + 0.9917689)))) + ((x26 + -0.11377868) * 1.0511172)"
21,0.010303286,"(((0.18022394 / x2) / ((x26 / ((x26 * -1.0456443) + 1.1438632)) + 1.3595045)) + (x26 + -0.13505374)) + (x12 * -0.11621912)"
23,0.010136293,"(x12 * -0.11562836) + (((((0.18620843 / x2) / ((x26 / ((x26 * -0.97605) + 1.0429524)) + 1.4433649)) + x26) / 0.9673542) + -0.13511701)"
25,0.009248447,"-0.12109387 + ((((0.21190704 / x2) / ((x26 / ((x26 * -0.89758795) + 0.9997491)) + 1.6000061)) + x26) + (((x12 / -1.6258416) - x8) * 0.14627929))"
27,0.008630242,"(((((x12 / -1.6231103) - x8) * 0.25090432) + (0.20509587 / x2)) / ((x26 / ((x26 * -0.8991631) + 0.975018)) + 1.5717559)) + ((x26 + -0.116176374) - x7)"
37,0.008542804,"((0.18702684 / x2) / ((x26 / ((x26 * -0.98257357) + 1.0585206)) + 1.43757)) + ((x26 + -0.12171338) + (((((((x12 * x12) * 0.44918197) / -1.630371) + (x14 * (x19 * x19))) / -1.6296784) + x12) * -0.142936))"
