Complexity,Loss,Equation
1,0.012569455,"x26"
3,0.012314607,"x26 + 0.01594871"
5,0.011001864,"x26 - (x19 * 0.08940275)"
7,0.0064014574,"x26 - (-0.00019526955 / (x2 + -0.11227894))"
9,0.00604286,"x26 + (0.00020555251 / ((x2 - x8) + -0.112278156))"
11,0.0049659563,"(x19 * -0.11227938) + ((0.00019527134 / (x2 + -0.11227938)) + x26)"
13,0.004643192,"(x26 + (x19 * -0.112279326)) + (0.00020555251 / ((x2 + x8) + -0.112278156))"
15,0.0045230817,"x26 + (-0.12137959 * ((x19 * x2) + ((-0.035992086 * 0.046022087) / (x2 + -0.1122794))))"
17,0.003949885,"x26 + ((((x19 + x8) * x2) - (-0.035992086 * (-0.035992086 / (-0.1122794 + x2)))) * -0.12137959)"
19,0.0034988923,"x26 + ((((x19 + x8) * x2) - (-0.035992086 * ((x8 - 0.046022087) / (x2 + -0.1122794)))) * -0.12137959)"
21,0.00336267,"(-0.12137959 * (((x19 + x8) * x2) - ((x2 - (0.046022087 / ((x2 + x8) + -0.1122794))) * -0.035992086))) + x26"
23,0.0033364291,"((-0.12137959 * (((x19 + x8) * x2) - ((x2 - (0.046022087 / ((x2 + x8) + -0.1122794))) * -0.035992086))) + x26) * 1.0106459"
25,0.0032695683,"(((x2 * (((x8 + 0.062178824) / 0.71918464) + x19)) - ((-2.1873279 - (0.046022087 / (x2 + (x8 + -0.1122794)))) * -0.035992086)) * -0.12137959) + x26"
27,0.003199664,"(-0.12137959 * ((x2 * (x8 + (x19 + 0.062178824))) - ((-1.2866569 - ((x14 / 0.21738665) + (0.046022087 / (x8 + (x2 + -0.1122794))))) * -0.035992086))) + x26"
29,0.0031880112,"(((x2 * (x19 + (0.062178824 + x8))) - (((0.15246372 / -0.077008344) - ((x14 / 0.15246372) + (0.046022087 / (x2 + (x8 + -0.1122794))))) * -0.035992086)) * -0.12137959) + x26"
