Complexity,Loss,Equation
1,0.051438108,"x26"
3,0.04891721,"x26 * 0.9018767"
5,0.048008487,"x26 - (0.13490672 * x17)"
7,0.042723414,"(x2 + (-0.98878187 - x26)) * -0.6633825"
9,0.02664181,"((x2 + (x8 + -1.0704271)) - x26) * -0.67964244"
11,0.021859683,"(x2 * (((x8 + 1.3685942) - x26) * -0.69904333)) + 1.0303233"
13,0.01998041,"((((x2 - x26) * (3.7616048 - x26)) + x12) * -0.16964445) + 0.67569345"
15,0.016884936,"((((x8 + (3.8107915 - x26)) * (x2 - x26)) + x12) * -0.16070724) + 0.6583957"
17,0.01570231,"(((x8 + x12) + ((x2 - x26) * ((x8 + 4.3724) - x26))) * -0.14264888) + 0.6751946"
19,0.0155748585,"(((x12 + x8) + (((x8 - (x26 * 0.83813775)) + 4.209756) * (x2 - x26))) * -0.15038115) + 0.68264574"
21,0.014228263,"0.9288333 + ((x12 + ((x2 + (x2 * ((x8 + x8) + ((2.7790973 - x23) - x26)))) - x26)) * -0.23916607)"
25,0.013639879,"0.9288333 + (x5 + (((x2 + x12) + ((((((x8 * 1.7126198) + x8) + (2.7790973 - x23)) - x26) * x2) - x26)) * -0.23916607))"
27,0.013380034,"(((x26 + (((x17 + 5.2098055) - (x26 + x8)) * (x2 + (x8 - x26)))) - (x23 + (x14 * (x8 + x8)))) * -0.13570571) + 0.7575309"
29,0.012987393,"(((x26 - (x23 + (x14 * (x8 * (x2 + x14))))) + (((x8 + x2) - x26) * ((5.3459425 - (x8 + x26)) + x17))) * -0.13389243) + 0.76438254"
31,0.012668284,"((((x26 - (((x8 + x14) - 0.82235926) * x13)) + (((x17 - (x8 + x26)) + 7.8174024) * ((x8 - x26) + x2))) * -0.08691835) + 0.704701) + (x21 * 0.15537229)"
33,0.012229619,"(x21 * 0.16580898) + ((((((x8 - x26) + x2) * ((x17 + 7.8066883) - (x8 + x26))) + (x26 - (((x14 - 0.6996147) + (x8 + -0.57557404)) * x13))) * -0.08799334) + 0.7102346)"
35,0.011168745,"(x21 * 0.15537229) + (((((((x8 - x26) + x2) * ((x17 + 7.8174024) - (x8 + x26))) + x26) - (((x14 - (x18 + 2.3759563)) + (x8 * 4.8511)) * x13)) * -0.08691835) + 0.704701)"
37,0.011033887,"(x21 * 0.15537229) + ((((((x8 - x26) + x2) * ((x17 + 7.8174024) - (x8 + x26))) + (x26 - ((((x14 - (x18 + 2.3759563)) + (x8 * 4.8511)) * 0.87825215) * x13))) * -0.08691835) + 0.704701)"
39,0.010980624,"((x21 * 0.14550333) + (((((x17 + 7.6453876) - (x8 + x26)) * ((x8 - x26) + x2)) + (x26 - (((x14 - (x18 + 2.1235144)) + (x8 * 4.8689084)) * (x13 * 0.8513396)))) * (-0.08987487 - x9))) + 0.71404624"
