Complexity,Loss,Equation
1,0.010715901,"x26"
3,0.010311947,"x26 + 0.020109523"
5,0.008576629,"x26 - (x18 * 0.099164)"
7,0.008121749,"(x21 * -0.1608571) + (x26 * 1.1042633)"
9,0.007440312,"x26 + (((x19 + x8) * -0.12332475) * x2)"
11,0.0053473096,"x26 + (((x26 + -1.0029814) * (-0.0125007 / x2)) / x2)"
13,0.0045187073,"(((-0.1355411 / (x2 + x8)) + 0.103812665) * (-0.9265167 + x26)) + x26"
15,0.0029961208,"(((-0.13069032 / x2) + 1.181018) * ((x26 + -0.9803655) + (x18 * -0.15134127))) + 1.0297279"
17,0.0023962418,"((x26 + -1.0145173) * ((-0.12829193 / (x2 + x8)) + 0.11852116)) + ((x18 * -0.10864849) + x26)"
19,0.0020499323,"((x26 + -0.111640446) * 1.161765) + ((((x20 + x8) * 0.12737952) + (-0.13176084 / x2)) * (x26 + -0.97674406))"
21,0.0015794847,"(((x2 * -0.14802703) * (x20 + x8)) + (((x26 + -0.9648383) * (-0.112195894 / x2)) + (x26 + -0.10889874))) * 1.1847361"
23,0.001476345,"(((((x26 + -0.82094073) * -0.11253378) / x2) + x26) * 1.2177314) + ((x2 * (((x21 + x8) * 1.8993285) + 0.9814019)) * -0.111268334)"
25,0.0013702597,"((((x26 + -0.82519555) * (-0.11703527 / x2)) + x26) * 1.2254432) + (((x8 * 2.1207514) + (x24 + (1.034339 + x19))) * (x2 * -0.112967804))"
27,0.0013623004,"((x26 + ((-0.11523826 / x2) * (x26 + -0.83585024))) + ((((x8 * 2.1216938) + (x19 + 1.0193362)) + x24) * ((x2 + x9) * -0.09313555))) * 1.2189777"
29,0.0013144703,"(((((x26 + -0.81917113) / 0.8249134) * -0.112129904) / x2) + (x2 * (((x2 * 0.86190397) + ((x19 + x24) + (x8 * 2.2124846))) * -0.12072432))) + (x26 * 1.214653)"
31,0.0012572798,"(x2 * (((x2 * (0.659375 + (x2 * (x8 * -0.49123096)))) + ((x8 * 2.1962554) + x19)) * -0.1592811)) + ((x26 + ((x26 + -0.9101145) * (-0.112395585 / x2))) * 1.1092892)"
