Complexity,Loss,Equation
1,0.010652853,"x26"
3,0.010250001,"x26 + 0.020072982"
5,0.008510038,"x26 + (x18 * -0.09850311)"
7,0.007968428,"(x22 * -0.18803726) - (x26 * -1.1389247)"
9,0.007926558,"(x22 * -0.1816087) - ((x26 * -1.1347256) - 0.0067320396)"
11,0.0069194925,"(((x8 + x2) + -1.0961392) * -0.29725724) - (x26 * -0.8683427)"
13,0.006256283,"((x2 + ((x22 + -1.0762953) + x8)) * -0.16679752) - (x26 * -1.0542117)"
15,0.0056992383,"((x2 + (x8 + -1.0643278)) * -0.27054167) - ((x26 - (x17 * 0.09163053)) / -1.1028557)"
17,0.005320798,"(((x2 + -1.0377449) + x8) * -0.29416713) - ((x26 - (x17 * (x2 * 0.11054043))) / -1.1152478)"
19,0.004946591,"(((x2 + x8) + -1.0069058) * -0.33359468) - ((x26 - ((x2 - x8) * (0.1499738 * x15))) / -1.146211)"
21,0.004800124,"((((x2 + x8) + -0.57572365) * -0.38432187) - ((x26 - ((x2 - x8) * (x15 * 0.16328596))) / -1.1968323)) + 0.16693024"
23,0.0032541514,"((((-2.081996 + (x2 + x8)) + x2) * 3.810366) - ((x26 + (((x15 * -0.34901568) + x26) * x2)) * 4.493491)) / -10.612072"
27,0.0028416263,"((((x2 + ((x2 + -2.7754965) + x8)) * 2.7650476) + 1.8422933) - ((x26 + (x2 * (x26 + (x17 * -0.27891514)))) * 3.6247854)) / (x12 + -8.173033)"
31,0.0026516165,"(((((x2 + x2) + (x8 + -2.7492268)) * 2.763631) - ((x26 + (x2 * ((x16 * -0.32487255) + x26))) * 3.523717)) + 1.852399) / (x8 + (-7.702467 - (x26 * x26)))"
33,0.0021272828,"(((((x2 + x2) + (x8 + -2.875575)) * 2.277616) + 1.8029553) - ((x26 + (((x15 * -0.37882543) + x26) * x2)) * 2.3304248)) / ((x8 - ((x26 * x26) + 0.7600949)) + -4.5851746)"
39,0.002088731,"((((((x8 + -2.7631333) + x2) + x2) * 2.7992508) - (((x2 * (x26 + (x17 * -0.29082462))) + x26) * 3.3773108)) + 1.847305) / ((0.0592122 - ((x26 * x26) + ((x12 * -0.68060905) + -0.38295275))) + (x8 + -7.7713957))"
