Complexity,Loss,Equation
1,0.015194916,"x26"
3,0.014778367,"x26 + 0.020397753"
5,0.012738203,"(x19 * -0.104223244) + x26"
7,0.0121312225,"x26 + (0.035211243 / (x2 + x8))"
9,0.0074491356,"(0.0067849327 / (x8 + (x2 - 0.10541819))) + x26"
11,0.0070994287,"((0.009464467 / ((x2 + x8) + -0.102706164)) + x26) / 1.0452076"
13,0.005707263,"x26 + (((-0.115314245 / (x2 + (x8 + -0.1001879))) + x18) * -0.098452844)"
15,0.0050927163,"x26 + ((x18 + (-0.115314245 / ((x2 + (x8 / 0.30022505)) + -0.1001879))) * -0.098452844)"
17,0.0044531077,"((x26 + ((((x26 * -0.10512974) + 0.10500694) / x2) + -0.10189343)) + (x19 * -0.12388196)) / 0.8574825"
19,0.0037207354,"(((x26 + -0.100823656) + (x19 * -0.10469542)) + (((x26 * -0.11284959) + 0.111404225) / (x2 + x8))) / 0.8816504"
21,0.0032343005,"(((((x22 * -0.16358355) * x2) + -0.10662449) + (((x26 * -0.12161546) + 0.105997756) / (x2 + x8))) + x26) / 0.81628835"
23,0.0032128547,"(((((x2 + 0.04705088) * (x22 * -0.15471959)) + -0.10602809) + (((x26 * -0.1203868) + 0.10592082) / (x2 + x8))) + x26) / 0.8188158"
25,0.0031641063,"((((x22 * -0.16468798) * ((x8 * 0.2652253) + x2)) + (((x26 * -0.12215324) + 0.10563474) / (x8 + x2))) + (x26 + -0.10613684)) / 0.8121684"
29,0.0031274126,"(((((((x26 * -0.11566988) + 0.102803834) / (x8 + x2)) + -0.10359165) + (x22 * (x26 * ((x26 * 0.016948499) + 0.06657623)))) + x26) / 0.81201315) + (x22 * -0.18820716)"
31,0.0028678002,"(((x26 * -0.15256831) + 0.107561745) / (x8 + (x2 + x8))) + (((((x26 + 0.010394172) / 0.77575153) + (0.718502 / ((x26 + 1.347495) + x2))) + (x19 * -0.1476819)) + -0.42785823)"
