Complexity,Loss,Equation
1,0.025965422,"x26"
3,0.025758568,"x26 + 0.014382433"
5,0.022519104,"x26 + (0.02366118 / x2)"
7,0.01611037,"x26 - (-0.0037154125 / (x2 + -0.10599429))"
9,0.012613928,"x26 + (-0.0022775559 / (0.31807575 - (2.8628786 * x2)))"
11,0.0058553503,"(((x26 + -1.0451746) * 0.007686993) / (0.10438959 - x2)) + x26"
13,0.0057202745,"(((x26 + -1.0451746) * 0.007686993) / (0.10438959 - x2)) + (x26 - 0.007686993)"
15,0.0045037754,"(((x26 + -0.9838915) * (0.008290607 / (0.10427325 - x2))) + (x15 * -0.082173824)) + x26"
19,0.00395674,"-0.13027461 + (((((x15 * x2) + (x26 + -1.4172292)) / ((x8 * -1.2578504) - x2)) * 0.08715787) + x26)"
21,0.0029980736,"((x26 + -0.10991265) * 1.1442927) + ((((x19 * x2) + (x26 + -0.9761039)) * 0.1274344) / ((x8 / -1.508316) - x2))"
23,0.0027642131,"((x26 + ((x2 * x19) + -1.0250978)) * (0.12148776 / ((x8 / (x21 + -0.7601938)) - x2))) + ((x26 + -0.11592789) * 1.1151941)"
25,0.0025699358,"((x26 * 1.1246293) + (((x26 + (((x19 + x8) * x2) + -0.9799577)) * 0.12650342) / ((x8 / (x26 + -1.3676635)) - x2))) + -0.12504867"
27,0.002472288,"((((((x2 * (x8 + x19)) + -0.9768051) + x26) * 0.12827331) / ((x8 / (x26 + (x20 - 2.223996))) - x2)) + (x26 * 1.1306864)) + -0.12666236"
29,0.0023909574,"((((x26 + -0.9656715) + (((x24 * x8) + (x19 + x8)) * x2)) * 0.12815818) / ((x8 / (x26 + -1.1338613)) - x2)) + ((x26 * 1.1323866) + -0.12862809)"
31,0.0023201609,"((x26 * 1.1202307) + -0.13235168) + ((((((x8 + x19) * x2) + -0.8350532) + ((x24 + -0.9843399) * (x26 / -1.3732885))) * 0.14832717) / ((x8 / (x26 + -1.0188361)) - x2))"
33,0.0021682205,"(x26 * 1.1202307) + (((((x8 + ((x26 / (x19 + -1.3732885)) * (x24 + -0.9843399))) + (x2 * x19)) + -0.8350532) * (0.14832717 / ((x8 / (x26 + -1.0188361)) - x2))) + -0.13235168)"
35,0.002075251,"(x26 * 1.1202307) + (((((x2 * x19) + -0.8350532) + (((x8 + x26) / (x16 + -1.3732885)) * (x23 + -0.9843399))) * (0.14832717 / ((x8 / ((x26 + -1.0188361) * 1.5735093)) - x2))) + -0.13235168)"
