Complexity,Loss,Equation
1,0.014445988,"x26"
3,0.014205522,"x26 - -0.015508086"
5,0.013168452,"(x18 / -12.775356) + x26"
7,0.01293137,"((x18 + x8) / -13.534066) + x26"
9,0.010543021,"(((x26 - 1.0099959) / x2) * -0.04597607) + x26"
11,0.0060400884,"x26 + (0.012520859 * (((0.99801725 - x26) / x2) / x2))"
13,0.005560232,"(((x26 - 1.2999512) * (-0.09473375 / (x2 + x8))) + x26) + -0.11075435"
15,0.005189578,"(((x8 + ((1.2064388 - x26) / (x2 * -1.8609445))) / -5.449107) + -0.10359574) + x26"
17,0.0047959797,"((x26 * 1.1631899) + -0.121793784) + ((x19 + ((1.0055885 - x26) * (-0.9763108 / x2))) / -7.9477696)"
19,0.0046142936,"((x26 + -0.036590394) + ((x19 + ((0.9813575 - x26) / ((x2 * -2.612186) - -0.19799387))) / -10.670775)) * 1.0805937"
21,0.004306812,"(((((x21 + (0.42920414 / (x2 * -3.038864))) / x2) * (1.0104935 - x26)) + x8) / -11.852145) + (x26 * 1.0473509)"
23,0.0036107555,"(((x26 * ((x26 + 0.76487327) * 0.18763168)) + -0.12354255) + ((x8 + (((0.86050797 - x26) / x2) * -0.5326487)) / -3.6187057)) + x26"
25,0.0035649193,"(((((x26 + 0.6245064) * x26) * 0.21820551) + x26) + (((((0.8496847 - x26) * -0.98582613) / x2) + (x8 + x8)) / -6.578859)) + -0.12797354"
27,0.003564241,"(((x26 * (x26 + (x7 + 0.4126626))) * 0.19814666) + (((x8 + (((0.8634341 - x26) / x2) * -0.52743685)) / -3.6178477) + -0.12545927)) + (x26 * 1.0483054)"
29,0.0034749603,"(x22 * -0.033921707) + (x26 + ((-0.12804972 + ((0.21852233 * (x26 + 0.6237785)) * x26)) + (((((0.8495858 - x26) * -0.98472285) / x2) + (x8 + x8)) / -6.567593)))"
