Complexity,Loss,Equation
1,0.014322187,"x26"
3,0.014045504,"x26 - -0.01663101"
5,0.01218858,"(x18 / -10.065606) + x26"
7,0.011015984,"x26 + (0.001963972 / (x2 - 0.10872588))"
9,0.0074791936,"(-0.013203706 / ((0.09695143 - x8) - x2)) + x26"
11,0.007117839,"x26 + ((0.001963972 / (x2 - (0.10872588 - x8))) * 2.230979)"
13,0.0056095463,"(x26 + ((x26 + -1.3099638) * (-0.09458758 / (x2 + x8)))) + -0.11174585"
15,0.0047072885,"x26 - (((1.0169252 - x26) * ((0.9682475 - (x2 + x18)) * -0.10794765)) / x2)"
17,0.0034385154,"x26 - ((1.0820402 - ((x2 + x8) + x19)) * ((1.0085396 - x26) * (-0.101712346 / x2)))"
19,0.0029556397,"x26 - ((0.9998896 - (((x2 + x20) * x2) + x8)) * (((1.0063194 - x26) * -0.11696838) / x2))"
27,0.002659972,"x26 - ((((-0.12509802 / x2) + (1.2217597 - (x8 + (x26 + -0.9265684)))) * -0.080559015) * (((1.4137543 - (x8 + (x19 + x2))) / x2) - 0.39694205))"
29,0.0023856056,"x26 - (0.087735474 - ((((-0.16215348 / x2) - ((x26 + -0.7080407) + x8)) + 1.8551186) * (((1.552388 - (((x19 + x2) * x2) + x8)) * 0.06989002) / x2)))"
31,0.002312789,"(x26 - (0.095856056 - (((-0.16310817 / x2) + (1.845301 - ((x8 + x26) + -0.6981768))) * ((0.06850364 / x2) * (1.6307307 - (x8 + (x2 * (x2 + x19)))))))) / 0.9775055"
33,0.0021278632,"((x26 - (((0.061152015 / x2) * (((-0.1565178 / x2) - (x26 + (x8 + -0.7262744))) + 1.8733989)) * ((((x19 + (x8 + x2)) + -1.0385624) * x2) - 1.6771146))) - 0.24805562) * 1.0811219"
37,0.0020509267,"((x26 - (((x26 * 0.03544792) - (((1.7330177 - (((x19 + x2) + (x8 + -1.087976)) * x2)) * 0.059047375) / x2)) * ((-0.13743635 / x2) + (1.7392008 - ((x26 + -0.5920783) + x8))))) - 0.2319198) * 1.1869304"
