Complexity,Loss,Equation
1,0.0067240284,"x26"
3,0.006538094,"x26 - -0.01363565"
5,0.005161558,"x26 + (x17 * -0.0886062)"
7,0.0044090105,"(x21 * -0.1757681) + (x26 * 1.1344593)"
9,0.0041315285,"x26 + ((x24 - x26) * (x2 * -0.44219244))"
13,0.0040353094,"((x26 - x24) * (((x26 + -0.940487) - x24) * -0.44219244)) + x26"
15,0.0038405953,"((-1.1410782 - x26) * (0.475299 * ((x26 - x24) * (-1.025327 + x26)))) + x26"
17,0.0038055512,"((((-1.1437935 - x26) * 0.47804597) * (x26 + -1.0284079)) * (x26 - x24)) + (x26 * 0.9865751)"
19,0.0033855983,"(((x26 - x24) * (x26 + -1.025327)) * ((-1.1410782 - x26) * (0.3611902 / x2))) + (0.98730654 * x26)"
21,0.003356732,"(((x26 + -1.0284079) * (x26 - x24)) * (0.4437678 * (((-1.1437935 - x26) / x2) / 1.0531474))) + (x26 * 0.9865751)"
