Complexity,Loss,Equation
1,0.0067240284,"x26"
3,0.006538094,"x26 + 0.013645913"
5,0.0051615573,"x26 + (x17 * -0.08860608)"
7,0.004409011,"(x26 + (x21 * -0.15488954)) * 1.134454"
9,0.0030718814,"x26 + (46.271725 / ((x8 * -333722.28) + 60.775616))"
11,0.0030403673,"((133.65462 / ((x8 * -1.0545489e6) + 177.19623)) + x26) + 0.0057662176"
13,0.0016872714,"(34.245987 / ((x8 * -482919.38) + 45.35554)) + (x26 + (x17 * -0.08444735))"
15,0.0010034817,"1.1642988 * ((22.117384 / ((x8 * -943005.6) - -34.09566)) + (x26 - (0.175178 * x22)))"
17,0.00082523015,"((x26 + (0.42911217 / (0.49559224 - (x13 - (x8 * -962730.94))))) - (x22 * 0.17677338)) * 1.1681645"
19,0.0008154118,"(29.351213 / (((x18 + (x8 * 4735.418)) * -203.29384) - -29.080534)) + ((x26 - (x22 * 0.17528099)) * 1.165213)"
21,0.0008133554,"(29.36653 / (((x18 + (x8 * 4735.418)) * -203.29321) - -29.484282)) + ((x26 - ((x22 * 0.17631997) + 0.0013280981)) * 1.166637)"
23,0.0007908288,"(((x26 - (x22 * 0.14758536)) - (x25 * 0.07330741)) * 1.2363412) + (29.35283 / (((x18 - (x8 * -3990.0352)) * -203.29384) - -29.896194))"
25,0.00072900625,"((x26 - (x22 * 0.17538683)) * 1.179741) + (29.351242 / (((((((x22 * 4735.418) + 0.005683396) * x8) * 4735.418) + x18) * -203.29384) - -29.080553))"
27,0.00072244334,"(29.351242 / (((((0.005683396 - ((x13 + x21) * 29.351242)) * (x8 * 4735.418)) + x18) * -203.29384) - -29.080553)) + ((x26 - (x22 * 0.17538683)) * 1.179741)"
29,0.0007105177,"(29.351242 / (((((x8 * 4735.418) * ((29.351242 * ((x19 * 1.2458524) + x22)) + 0.005683396)) + x18) * -203.29384) - -29.080553)) + (1.179741 * (x26 - (0.17538683 * x22)))"
