Complexity,Loss,Equation
1,0.014374583,"x26"
3,0.014005516,"x26 * 0.96012247"
5,0.0125686,"x26 - (0.0908325 * x18)"
7,0.012204949,"(-0.06614565 * (x8 + x19)) + x26"
9,0.0098657,"(x22 * -0.30860814) + ((x26 + x25) * 0.6189538)"
11,0.009662076,"((x25 * 0.50122607) + (x26 * 0.70750904)) + (x22 * -0.27680326)"
13,0.009629862,"((x26 * 0.7062024) + ((x25 * 0.50004935) - -0.0057915184)) + (x22 * -0.2725346)"
15,0.0033574153,"1.1580822 - (x2 * ((((x12 / -3.2661674) + (x26 + -1.7393074)) - x8) / -1.5504316))"
17,0.0029832735,"x10 - (((((x12 / -3.035239) + ((x26 + -1.6056571) - x8)) / -1.5012739) * x2) - 1.1094677)"
19,0.0029760504,"(x10 - (((x2 * ((x26 + ((x12 / -3.0358515) + -1.6239994)) - x8)) / -1.5121039) - 1.1125596)) - x1"
21,0.0028875787,"(((x2 * (x25 + ((x15 / -2.8794885) + (-1.4580383 - x8)))) / -2.8598478) - 0.52960485) * ((x15 * -0.21596745) - 2.0935395)"
23,0.0025392948,"(((x8 * -0.35447398) + -1.817415) * (((((x15 / -2.5126116) + ((x25 - x8) + -1.3540435)) * x2) / -2.49928) - 1.0269705)) - 0.84905905"
25,0.0022665442,"((((x2 * ((((x15 / -2.4682128) + x25) + -1.348427) - x8)) / -2.500408) - 1.045269) * ((x8 * (x24 * -0.48072162)) + -1.799222)) - 0.8845038"
27,0.002105374,"(((((x25 * x8) * x15) * -0.47635204) + -1.7992226) * (((-1.4352089 + (((x15 / -2.4883974) + x25) - x8)) * (x2 / -2.5034068)) - 1.0576015)) - 0.8419026"
29,0.0021053415,"(((x8 * (x25 * (x15 * -0.47690782))) + -1.8009592) * (((((x15 / -2.4879966) + (x25 + -1.4336776)) - x8) * (x2 / -2.5047705)) - 1.0552473)) - (x6 + 0.84010965)"
