Complexity,Loss,Equation
1,0.067220904,"x26"
3,0.06506243,"x26 * 0.9032303"
5,0.05083327,"x26 - (-0.04903165 / x2)"
7,0.026449215,"(x2 * (x26 + -0.8215382)) - -0.8836326"
9,0.02055348,"x26 - (((x26 - 0.9395202) * 0.093038864) / x2)"
11,0.008360386,"x26 - (((0.12488719 / x2) + -0.1263716) * (x26 - 0.9980113))"
13,0.007835601,"(x26 + -0.058431245) - (((x26 - 1.0773627) / (x2 + -0.074090354)) * 0.038111184)"
15,0.0032114473,"((x2 * ((x26 + -1.6282433) - ((x12 * 0.32588866) + x8))) / 1.4832373) - -1.1395108"
17,0.0032114454,"((x2 * ((x26 + (-1.62854 - (x8 + (x12 * 0.32592258)))) / 2.0501704)) - -0.82453907) * 1.382228"
19,0.0027406397,"((((x26 + (-1.5281206 - (x12 * 0.27413234))) - x8) * x2) - -1.5915481) * (0.694509 - (x16 * -0.06561565))"
21,0.0026224514,"((x2 * ((x26 + (-1.5650511 - x8)) - (x12 * 0.29459286))) - -1.6249858) * (0.68419933 - ((x17 * -0.14239423) * x8))"
23,0.0022609965,"((x2 * ((-1.660395 - (x12 * 0.35383654)) + (x26 - x8))) - -1.7232763) * (0.6510786 - ((x12 * x18) * (x8 * -0.24049354)))"
25,0.0021118615,"(0.65398467 - ((x13 * (x8 * -0.39768863)) * (x19 * x8))) * ((x2 * (((x26 - x8) + -1.6505003) - (x12 * 0.34223086))) - -1.7116857)"
27,0.0020417916,"((x2 * ((x26 + (-1.6242173 - (x12 * 0.3309174))) - x8)) - -1.6841725) * (0.6597187 - ((x23 + x8) * ((x14 * (x8 * -0.2575207)) * x8)))"
29,0.001983217,"((0.6642848 - (((x14 * (x8 * x8)) * -0.24067408) * (x8 + x23))) * (((x26 + ((-1.6021438 - (x12 * 0.3355421)) - x8)) * x2) - -1.8306504)) + -0.11409497"
