Complexity,Loss,Equation
1,0.011211759,"x26"
3,0.0110811945,"x26 * 0.9757305"
5,0.009326976,"x26 - (0.09216846 * x17)"
7,0.008993771,"x26 - (x2 * (x19 * 0.10771796))"
9,0.007859829,"x26 + (((0.9295258 - x17) - x2) * 0.14550212)"
11,0.007672739,"x26 + ((x19 * -0.15217343) + ((0.9586146 - x2) * 0.19726852))"
13,0.006870536,"x26 + ((1.0948428 - x2) * ((1.0089328 - x26) * (0.8322057 - x2)))"
15,0.004187962,"x26 + ((0.9919986 - x26) * ((1.1445496 - x2) * ((1.0794889 - x17) - x2)))"
17,0.0034505415,"(((1.0486346 - x26) * ((0.913861 - (x18 / 1.8711945)) - x2)) * (1.2278113 - x2)) + x26"
19,0.0026354934,"(((((1.101302 - x19) - x2) * (1.2301896 - x2)) * (x23 + 1.0438836)) * (0.9774814 - x26)) + x26"
21,0.0021385234,"x26 + ((1.2757128 - x2) * (((0.9952087 - x26) * (x23 + 1.0692819)) * ((1.0204053 - (x19 / 1.3143053)) - x2)))"
23,0.0018260798,"x26 + ((x22 + 1.2020668) * ((((1.0033603 - x26) * (((1.4092916 - x19) / 1.3579633) - x2)) * (1.3686047 - x2)) * 0.7136508))"
25,0.001805912,"(((1.3548151 - x2) * (x22 + 1.1877441)) * ((0.99626595 - x26) * ((((1.4162928 - x19) / 1.41892) - x2) * 0.7570199))) + (x26 + 0.010960668)"
27,0.0018026934,"(x26 + (((1.3548151 - x2) * (((1.1877441 + x22) * ((0.99626595 - x26) * (((1.4162928 - x19) / 1.41892) - x2))) * 0.7570199)) + 0.010960668)) * 0.9966135"
29,0.001800539,"(x11 + 0.012455641) + ((x26 + ((x22 + 1.1759707) * (((1.3554968 - x2) * (1.002207 - x26)) * ((((1.4194577 - x19) / 1.430793) - x2) * 0.76394814)))) * 0.99493927)"
