Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 - -0.012679027"
5,0.004158062,"(x17 * -0.08853704) + x26"
7,0.003110916,"((x26 - x25) * x2) + x26"
9,0.00308221,"(((x26 - x24) * x2) * 0.48647124) + x26"
11,0.0029230101,"((x26 - x25) * ((x25 - x26) - -0.9153717)) + x26"
13,0.0028707932,"((x26 - x25) * (((x24 - x26) * x26) - -0.9153717)) + x26"
15,0.0027964958,"((x26 * 0.95736223) + (((x26 + -0.16341117) - x24) * (x2 * 0.54307145))) - -0.08872538"
17,0.0027570887,"((0.3365048 - (x2 * (((x23 * 0.8353688) - x26) - -0.32514244))) + (x26 + x26)) * 0.43950212"
19,0.0022564386,"(((x8 * -0.23255298) + x26) + (((x2 * ((x26 - x24) - 0.2705333)) + x26) - -0.28867245)) * 0.4688386"
23,0.0022453896,"((x26 + ((x2 + ((-0.1917589 - x19) * (x19 * -0.48442355))) * ((x26 - x24) - 0.34619075))) + (x26 - -0.38052917)) * 0.46861988"
25,0.002087738,"(x26 + ((((x26 - x24) - 0.43030348) * (((x24 - x26) - (x24 * (x19 * -0.45864072))) + x2)) + (x26 - -0.46728966))) * 0.45673922"
27,0.002075016,"(((x26 + (((x2 + ((x24 - x26) * 0.4692193)) - (x19 * (x19 * -0.47973275))) * ((x26 - x24) - 0.37621778))) + x26) - -0.41773078) * 0.46142834"
29,0.0020441632,"(((x26 + ((x2 + ((((x22 - x5) - x26) * 0.3866573) - ((x22 * -0.48789793) * x22))) * ((x26 - x24) - 0.44560367))) + x26) - -0.48974854) * 0.4530265"
