Complexity,Loss,Equation
1,0.005770893,"x26"
3,0.005610138,"x26 + 0.012679055"
5,0.004158063,"(x17 * -0.088538624) + x26"
7,0.0033043127,"(x22 * -0.21756887) + (x26 / 0.8448618)"
9,0.003253712,"(x26 + ((x25 + x21) * -0.12028564)) * 1.2697469"
11,0.0027371894,"x26 - (((x19 + (x8 + x2)) * 0.1283072) + -0.13722405)"
13,0.0023987032,"0.18142954 + (x26 - (((x2 * (x2 + x8)) + x19) * 0.17010044))"
15,0.0023966928,"((x26 - ((x19 + (x2 * (x2 + x8))) * 0.17095326)) + 0.18234244) / 1.003225"
17,0.002325979,"(x26 + 0.17363931) - ((x8 * 0.039238404) - ((x19 + (x2 * (x2 + x8))) * -0.15932463))"
19,0.002211447,"(((((x26 * x26) * -0.27754974) - ((x2 * (x2 + x8)) + x19)) * 0.17783114) + 0.19890648) + x26"
21,0.0022048173,"(x26 + 0.20670371) - (((x26 * (x26 * -0.2795392)) - (x19 + ((x8 + x2) * (x2 + 0.063744865)))) * -0.17395611)"
23,0.0021764406,"(x26 + (0.22100583 - ((((x26 * x26) * -0.31851146) - (x19 + ((x8 + x2) * (x2 + 0.13795575)))) * -0.17316045))) * 0.9857744"
25,0.0018190924,"x26 + (0.20116165 - ((((-0.5401877 - (x26 * (x26 * -1.4013683))) / (x2 * -14.383143)) - (x19 + (x2 * (x8 + x2)))) * -0.18996443))"
27,0.0015133084,"x26 + (0.19198126 - ((((-0.6597849 - ((x26 * x26) * -0.89092046)) / (x2 + (x2 * -7.6925583))) - (x19 + (x2 * (x8 + x2)))) * -0.19294237))"
