Complexity,Loss,Equation
1,0.010335083,"x26"
3,0.010297582,"x26 / 1.0134825"
5,0.00913217,"(x18 * -0.07820001) + x26"
7,0.008571361,"x26 + ((x8 + x19) * -0.07581722)"
9,0.007967362,"((x19 + x8) * (x2 * -0.1121917)) + x26"
11,0.005753085,"(((0.0119174495 + (x26 * -0.011955455)) / x2) / x2) + x26"
13,0.00550936,"((((0.0119174495 + (x26 * -0.011955455)) / x2) / x2) + x26) + -0.011955455"
15,0.0047904393,"x26 + (((x2 + (x8 - 1.1632704)) / x2) * ((x26 * 0.10548605) + -0.10555265))"
17,0.0029041553,"((((x8 + x20) + 1.1642148) - (1.0594698 / x2)) * ((x26 * 0.12127468) + -0.12210207)) + x26"
21,0.0027005423,"x26 + ((x8 + (((x19 + x2) - (0.9935902 / x2)) * 0.6470134)) * (((x26 * -1.0047281) + 1.0148996) * -0.17764679))"
23,0.0025597592,"((((((x2 + x19) - (x8 / -0.93204945)) - (1.0520837 / x2)) * ((x26 * -1.1145202) + 1.1451494)) + x8) * -0.09577674) + x26"
25,0.00249572,"(x26 + ((((x26 * -1.121798) + 1.1909517) * (((x8 + (x2 + x19)) - (1.0327836 / x2)) - (x8 / -1.1758056))) * -0.096538745)) / 1.0412676"
27,0.002479361,"(x26 / 1.0449634) + (((x26 * -1.0939741) + 1.1633337) * ((((x8 - (x8 / (-1.1832258 / x2))) - (1.0121294 / x2)) + (x2 + x19)) * -0.09856527))"
29,0.0023139846,"((((((x2 + -0.98458374) * x26) + 1.097438) * -0.14478259) * ((x2 + (x19 - (x8 / -0.895874))) - (0.87059325 / x2))) + (x26 - (0.03251166 / x2))) - -0.05207467"
