Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347031,"x26 + 0.015918434"
5,0.007123764,"(x17 * -0.086801544) + x26"
7,0.006479594,"(x21 * -0.16577977) + (x26 / 0.88900346)"
9,0.005974168,"(x26 + 0.13390157) - ((x2 + x18) * 0.13514093)"
11,0.003801551,"x26 + ((x26 - 1.0028071) * ((-0.11137223 / x2) + 0.09756647))"
13,0.0032539945,"(((x13 + ((x26 - 1.2129703) / x2)) * -0.08204277) + -0.101908684) + x26"
15,0.001308261,"((x26 + ((((x26 - 0.9763846) / x2) + x19) * -0.10770982)) / 0.8343402) + -0.122655846"
17,0.0013082502,"((x26 / 0.834547) + ((0.546803 - (((x26 - 0.97693384) / x2) + x19)) * 0.12900907)) + -0.19319756"
19,0.0009488064,"((x20 + ((-0.97560143 - (((x26 - 0.92381185) / x2) / x2)) * -0.08418689)) * -0.15897132) + (x26 / 0.8863134)"
21,0.00085457246,"((x19 + (((x19 - (x2 + ((x26 - 0.93190247) / x2))) / x2) * -0.08889446)) * -0.15548177) + (x26 / 0.91223073)"
23,0.0007209998,"(x26 + (((x20 + 0.07884167) + ((x20 - ((x26 - 0.90992224) / x2)) * (0.008779308 / (x2 * -0.110906474)))) * -0.16099282)) / 0.884975"
25,0.00068670383,"(x26 / 0.8812651) + ((x20 + ((((x15 + (x20 - ((x26 - 0.91042453) / x2))) * 0.008461732) / (x2 * -0.12082836)) + 0.0837969)) * -0.20454216)"
