Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347031,"x26 + 0.015918724"
5,0.007123764,"x26 - (x17 * 0.086801544)"
7,0.006498778,"(x26 - (x20 * 0.13083614)) * 1.0963963"
9,0.0051066913,"(0.015518248 / (x2 - (x26 + 0.095706366))) + x26"
11,0.004132876,"(0.015518248 / ((x2 - 0.095706366) + (x26 * x26))) + x26"
13,0.0034181147,"(x26 - 0.09602338) - (-0.12843908 / (x2 - ((x26 * -0.5279284) - x8)))"
15,0.0016467011,"x26 - ((-0.13641736 / (x2 - (((x26 * x26) + x19) * -0.80110115))) + 0.123236366)"
17,0.0011916654,"(x26 + -0.104699746) - (((x18 * 0.1373228) - 0.12291717) / (x2 - ((0.15498097 - x26) * x26)))"
19,0.0010624626,"((x2 * -0.088043876) + x26) - (((x18 * 0.16715035) - 0.09987339) / (x2 - (0.016221706 - (x26 * x26))))"
21,0.0007569473,"(x26 + (x2 * -0.09624568)) - (((x18 * 0.20776738) - 0.11110295) / (x2 - (x26 * ((-0.11306345 - x26) - x17))))"
23,0.000606012,"(x26 + (x2 * -0.051021263)) - (((x18 * 0.16734223) - 0.057090275) / (x2 - (0.05568249 - ((x26 - (x17 * -1.3472955)) * x26))))"
25,0.0006038532,"(x26 + (x2 * -0.051021263)) - (((0.16734223 * x18) - 0.057090275) / (x2 - (0.05568249 - ((x26 - (-1.3472955 * x17)) * (x26 + 0.009239834)))))"
27,0.000595418,"x26 + ((x2 * -0.053288423) - ((((0.17467372 - (x18 * 0.029662713)) * x18) - 0.05550931) / (x2 - (0.056125533 - (x26 * (x26 - (x17 * -1.5131598)))))))"
