Complexity,Loss,Equation
1,0.008600029,"x26"
3,0.008347032,"x26 + 0.015910402"
5,0.007123763,"(x17 * -0.08679231) + x26"
7,0.006191889,"(0.0016813395 / (x2 + -0.10873148)) + x26"
9,0.003152198,"(0.0013224323 / (x2 + (-0.11087919 - x8))) + x26"
11,0.0030683172,"((0.0013224323 / ((x2 + -0.11087919) - x8)) + x26) + 0.007788291"
13,0.0017887166,"(0.11642658 / ((x2 + (x26 * x26)) + x18)) + (x26 + -0.10846427)"
15,0.0012866157,"((((x17 + -0.926112) / ((x26 * x26) + x2)) * -0.1381945) + -0.10992004) + x26"
17,0.0011515062,"(x26 + -0.09638134) + (((x17 + -0.69612163) * -0.16196835) / (x2 + ((x26 + x17) * x26)))"
19,0.0008001646,"(x26 + -0.11043054) + (((x19 * (x2 * -0.2144893)) + 0.11878032) / (x2 + ((x15 + x26) * x26)))"
21,0.00066389807,"((((x19 * -0.2278759) * x2) + 0.11769712) / (x2 + (x26 * (x26 + x15)))) + ((x26 * 1.0269489) + -0.11139307)"
23,0.0006256866,"((x26 + -0.11246344) + ((((x19 * x2) * -0.21317123) + 0.11778701) / (((x26 + (x13 * 0.70547414)) * x26) + x2))) * 1.0302348"
25,0.0005081495,"(x26 + (((x19 * ((x2 * -0.2104752) / ((x26 * x20) + x2))) + 0.12238853) / (((x26 + -0.20872898) * x26) + x2))) + -0.10785174"
27,0.000508146,"((((((x19 * -0.2104694) * x2) / ((x26 * x20) + x2)) + 0.12245393) / (x2 + (x26 * (-0.20809188 + x26)))) - -0.26491702) + (-0.37281916 + x26)"
29,0.00050460256,"((((((((x2 * -0.20586981) / ((x26 * x19) + x2)) * x19) + 0.12275812) / (((x26 + -0.21222512) * x26) + x2)) - -0.2651084) + -0.37262776) + x26) / 1.0049351"
