Complexity,Loss,Equation
1,0.016349861,"x26"
3,0.016169311,"x26 * 0.9715144"
5,0.014780211,"x26 - (x17 * 0.08512999)"
7,0.013892533,"x26 + ((x25 - x24) * x2)"
9,0.011521318,"(x26 + (x25 - (x21 * 0.4309347))) * 0.5920868"
11,0.007951679,"((0.012589052 / x2) * ((0.9962512 - x26) / x2)) + x26"
13,0.007838789,"x26 + (((0.9969443 - x26) / x2) * ((0.0014480613 / x2) / x2))"
15,0.00651944,"(((0.012398798 / x2) * (1.0078061 - x26)) / x2) + (x26 + (x17 * -0.081495844))"
17,0.0060282177,"x26 + (((1.1570425 - x26) * (0.09855526 / x2)) + ((x2 * (x25 - x24)) - 0.12514219))"
19,0.00571338,"(((1.001174 - x26) * ((0.22723791 / x2) + (((x25 - x24) * x2) - 0.20418619))) * 0.51274604) + x26"
21,0.004909072,"((((((x8 + -0.770677) / -2.4605238) / x2) + (x25 - x24)) * (0.32181072 * (1.1220449 - x26))) + x26) - 0.11046734"
23,0.0041652983,"(((((1.1487569 - x26) * ((x8 + -0.8669977) / -2.7556763)) / x2) + ((x25 - x24) * x2)) * 0.36536273) + (x26 - 0.11840846)"
25,0.0036959776,"(((((1.1510184 - x26) * (((x8 + -0.98203605) / -5.4358163) / x2)) + (x2 * (x25 - x24))) * 0.6031112) + (x26 - 0.3634622)) - -0.24644123"
27,0.0036628405,"(((x26 - 0.3634622) + (((((1.1510184 - x26) * ((x8 + -0.98203605) / -5.4358163)) / x2) + (x2 * (x25 - x24))) * 0.6031112)) - -0.24644123) * 1.0095295"
