Complexity,Loss,Equation
1,0.014246393,"x26"
3,0.014174218,"x26 * 0.9811474"
5,0.013028294,"x26 + (x19 / -12.796926)"
7,0.006098087,"x26 + (1.947694e-6 / (2.0760845e-6 - x8))"
9,0.006091687,"(-0.106417626 / ((x8 / 0.00012458893) - x2)) + x26"
11,0.0059219548,"(-0.0023946604 / (((x2 * -0.20277683) * x2) - x8)) + x26"
13,0.0047445465,"(x26 + (-0.10621057 / ((x8 / 1.1417566e-5) - x2))) + (x19 * -0.07986993)"
15,0.0044887564,"(-0.10621057 / ((x8 / 1.1417566e-5) - x2)) + (((x19 * -0.10621057) + x26) * 1.0440949)"
17,0.0042577717,"((-0.0026302321 / (((x2 * x2) * -0.2112839) - x8)) + ((-0.24821207 - x19) * 0.08289631)) + x26"
19,0.003995938,"((x19 * x2) * -0.10160836) + ((x26 + (-0.00264406 / ((x2 * (x2 * -0.21153559)) - x8))) + -0.028412422)"
21,0.0034429927,"(x26 + ((x2 * -0.11786109) * (x19 - (-0.20024036 - x8)))) + (-0.0035204533 / ((x2 * (x2 * -0.2928545)) - x8))"
23,0.003442931,"((-0.003302385 / ((x2 * (x2 * -0.2744946)) - x8)) + (((x2 - x5) * 0.11825682) * ((-0.20017645 - x19) - x8))) + x26"
25,0.003427715,"(((x2 * ((-0.17066552 - x8) + ((x1 - x19) * 0.86793953))) * 0.13284142) + x26) + (-0.003177455 / (((x2 * -0.26432022) * x2) - x8))"
27,0.0032881205,"(x26 + ((x2 * ((((x21 + x14) * 0.19258334) - x19) + (-0.10681262 - x8))) * 0.16708685)) + (-0.003795349 / (((x2 * x2) * -0.3177894) - x8))"
