Complexity,Loss,Equation
1,0.015119242,"x26"
3,0.015059194,"x26 - -0.0077144653"
5,0.01371689,"(0.015460975 / x2) + x26"
7,0.00797493,"(0.0009659753 / (x2 + -0.11103435)) + x26"
9,0.0077002086,"(0.0009659753 / (x2 + -0.11103435)) + (x26 / 1.023332)"
11,0.0049355407,"x26 + ((x26 + -1.0005375) / ((x2 * x2) / -0.012291254))"
13,0.004701132,"x26 + (((x26 + -1.0219697) / (x2 * (x2 / -0.012450712))) + -0.016264193)"
15,0.003852036,"(((x26 + -1.0303886) / ((x2 * x2) / -0.012193912)) + x26) - (x8 * 0.12792453)"
17,0.0031783099,"(((x26 + (((x26 + -0.97620785) * -0.10665265) / x2)) + (x19 * -0.11611691)) / 0.8287351) - 0.1293412"
19,0.0030194249,"(x26 / 0.8861867) + ((x19 * -0.12240631) + (((x26 + -0.9622748) / ((x2 + -0.067113705) / -0.049828596)) - 0.057618737))"
21,0.0030097954,"((((x26 + -0.9585041) * 0.2838541) / (x2 * (x2 / -0.047564093))) + (((x19 * -0.108973645) + x26) / 0.91596746)) - 0.019686274"
23,0.0027308585,"((x26 + -0.9903233) * (0.4310568 / (((x2 * -1.5940795) - x8) / 0.47747278))) + ((((x19 * -0.09736027) + x26) / 0.8597113) - 0.12528855)"
25,0.002729047,"((((x26 + (x19 * -0.0999149)) / 0.8581502) - -0.59032136) + -0.715666) + ((0.42512923 / (((x2 * -1.5800228) - x8) / 0.4815482)) * (x26 + -0.99038297))"
