Complexity,Loss,Equation
1,0.011240033,"x26"
3,0.011113872,"x26 + 0.011246067"
5,0.00870166,"(x26 - x25) + x26"
7,0.0074864235,"(x24 * -0.3563019) - (x26 / -0.7549238)"
9,0.0069591943,"x26 + ((x17 * -0.07403194) / (x2 + x8))"
11,0.005981108,"((0.05793627 - (x25 * 0.051286884)) / x2) + (x26 + -0.056367304)"
13,0.0043746736,"x26 + ((((x26 * 0.10063487) + -0.10132787) * (-0.101019576 / x2)) / x2)"
15,0.003425982,"(((x26 * 0.056685366) + -0.062027678) * (((x8 + -0.1705174) / x2) / x2)) + x26"
17,0.0025257426,"(((x26 * 0.10500356) + -0.10840287) * ((-0.8510138 / x2) + ((x20 + 0.96127766) + x8))) + x26"
19,0.002124693,"(((x26 * 0.13901435) + -0.14212379) * ((((-0.699875 / x2) + 0.6810053) + x8) + (x19 / 1.7627187))) + x26"
21,0.0019760442,"x26 + ((x17 + ((x8 + (-0.13811056 / x2)) / x2)) * (((x26 * 0.15958238) + -0.16073632) / (1.9685465 - x25)))"
23,0.0017778467,"((((x8 + (((-0.13259181 / x2) - -0.13549206) / 0.13901988)) + x18) / (2.083723 - x25)) * ((x26 * 0.2613031) + -0.26585704)) + x26"
25,0.0016676475,"x26 + ((((x8 + (((-0.13259181 / x2) - (x2 * -0.13549206)) / 0.17091122)) + x17) / (2.083723 - x25)) * ((x26 * 0.2613031) + -0.26585704))"
27,0.0014660924,"((((((x8 + (x19 / 1.4087081)) - -0.7685144) + ((-0.18296312 / x2) / 0.2406746)) * ((x26 * 0.31860828) + -0.32238036)) / (2.0637352 - x25)) + x26) - x4"
29,0.001455431,"((((x26 * 0.30990234) + -0.31425223) * (((x8 - -0.7573653) + (((-0.18332009 / x2) / 0.24350964) + x4)) + (x19 / 1.4121785))) / (2.0667112 - x25)) + (x26 - x4)"
