Complexity,Loss,Equation
1,0.00921952,"x26"
3,0.009022799,"x26 - -0.01402727"
5,0.007677222,"x26 + (x18 * -0.08689778)"
7,0.006963854,"x26 - (x2 * (x25 - x26))"
9,0.006820347,"x26 - (((x25 - x26) * x2) / 1.2445756)"
11,0.0064867246,"((((x25 - x26) * x26) - -1.9901026) * x26) - x25"
13,0.0063695693,"(((x8 * 0.32588542) - x26) / -1.1280162) - ((x2 * 0.259599) - 0.2875667)"
15,0.005740372,"(((x8 * 0.17449278) - x26) / -0.9533384) - (((x22 + x2) * 0.16839455) - 0.17449278)"
17,0.0048769717,"(((x8 * 0.334809) - x26) / -1.1481148) - ((x2 * ((x15 * 0.101207316) + 0.3374526)) - 0.34546775)"
19,0.0048757894,"(((x8 * 0.3362001) - x26) / -1.1466236) - (((x5 + x2) * ((x15 * 0.09927776) + 0.33332428)) - 0.34179428)"
21,0.0042276178,"((((x8 / -1.7969719) * x2) + 0.39348397) - (x2 * ((x13 * 0.17401682) + (x2 * 0.37865406)))) - (x26 / -1.3553164)"
23,0.0037342885,"((((x2 * x8) * -0.6161322) - (x26 / -1.3863244)) - (x2 * ((((x13 * 0.18914807) + 0.7062635) * x2) - 0.40402478))) + 0.3266563"
25,0.0037272077,"(((x8 / 1.678929) * (-1.049633 * x2)) + (0.327624 - (((x2 * ((x13 * 0.19263363) + 0.72680205)) - 0.4241422) * x2))) - (x26 / -1.3945693)"
27,0.0037242312,"((((x6 + ((x8 / 1.6746819) * -1.0565016)) * x2) + 0.32388335) - (((x2 * ((x13 * 0.19366983) + 0.73707354)) - 0.43855545) * x2)) - (x26 / -1.3906746)"
29,0.003724231,"(((((x2 * -1.0565016) * (x6 + x8)) / 1.6746819) + (0.32388335 - (((x2 * ((x13 * 0.19366983) + 0.73707354)) - 0.43855545) * x2))) - (x26 / -1.3906746)) + x6"
