Complexity,Loss,Equation
1,0.012490937,"x26"
3,0.012101905,"x26 - -0.019723028"
5,0.010919009,"x26 - (-0.015910983 / x2)"
7,0.0031213542,"x26 - (0.00013794837 / (x8 + -0.00015659424))"
9,0.0030858363,"(x26 - (0.00012283372 / (x8 + -0.0001417306))) + 0.006120689"
11,0.001807666,"((-0.0798431 * x18) + x26) - (0.00012296058 / (x8 + -0.00014014493))"
13,0.0014984565,"((-0.0798431 * (x18 + x8)) + x26) - (0.00012296058 / (x8 + -0.00014014493))"
15,0.0013315601,"(((x18 * x2) + x8) * -0.07903774) + (x26 - (6.978669e-5 / (x8 + -7.922095e-5)))"
17,0.0011518431,"(((x8 + x18) * -0.0798431) + x26) - (0.00012296058 / (x8 + (-0.00014016789 / (x12 + 1.1277287))))"
19,0.0009711436,"((((x19 + (x8 + x21)) - x26) * (x2 * -0.070331)) + x26) - (2.202596e-5 / (x8 + -2.4978597e-5))"
21,0.00087952346,"(x26 + ((x2 * -0.062127296) * (x22 + ((x21 + (x8 - x26)) * 1.5925349)))) - (0.00012283372 / (x8 + -0.0001417306))"
23,0.00069812953,"(x26 + (((((x8 - x26) + x21) + x21) * -0.074548796) * x2)) - (-5.919501e-7 / ((8.602329e-7 / (1.4093269 - x26)) + x8))"
25,0.0005356894,"(x26 + ((x2 * (x21 + (((x21 + x8) - x26) * 1.9801996))) * -0.053324573)) - (5.8540434e-5 / ((-7.7017656e-5 / (1.2841259 - x26)) + x8))"
27,0.0005037279,"(x26 + (((x21 + (((x21 + x8) - x26) * 1.508885)) * x2) * -0.065527715)) - (1.9956206e-5 / ((-2.6638718e-5 / ((x18 + 1.3269365) - x26)) + x8))"
29,0.0004578147,"(x26 + (((x23 + ((((x24 + x8) + (x21 - x26)) - x26) * 1.5270746)) * x2) * -0.06212958)) - (0.00012233827 / (x8 + (-0.00013883537 / (x12 + 1.1277285))))"
