Complexity,Loss,Equation
1,0.012490937,"x26"
3,0.012101905,"x26 + 0.019722722"
5,0.010919009,"x26 - (-0.015910983 / x2)"
7,0.007619196,"x26 - (-0.0014131623 / (x2 + -0.11003332))"
9,0.0032384952,"x26 - (-0.001983613 / ((x2 - x8) + -0.1101746))"
11,0.0031423166,"(x26 - (-0.001983613 / (-0.1101746 + (x2 - x8)))) + 0.010099654"
13,0.0018685227,"((x17 * -0.08969128) + x26) - (-0.0019836081 / (x8 + (x2 + -0.1101746)))"
15,0.0014239282,"((x26 + (x20 * -0.12687202)) - (0.005664394 / ((x2 + x8) + -0.11989187))) * 1.1046098"
17,0.0013235841,"x26 + (((x18 + x8) * (x2 * -0.10379762)) - (-0.0020826932 / (x8 + (x2 + -0.110129565))))"
19,0.0009585973,"((x26 + (x20 * -0.12687062)) - (0.0056589507 / (((x19 * x23) + x2) + (x8 + -0.118848346)))) * 1.10461"
21,0.0009429091,"(((x26 + (x20 * -0.12698933)) * 1.0510043) - (0.0056466204 / (((x23 * x19) + (x8 + -0.11849867)) + x2))) * 1.0510043"
23,0.00085308193,"((x26 + (((x8 + x20) * x2) * -0.1268701)) - (0.0056466204 / ((x19 * 0.22046492) + ((x2 + -0.11849867) + x8)))) * 1.0539519"
25,0.00073135516,"1.0539519 * (x26 + ((((x8 + x20) * x2) * -0.1268701) - (0.0056466204 / (((x19 * 0.22046492) + (x2 + (-0.11849867 + x8))) + x8))))"
27,0.0007280044,"(((x20 + x8) * (x2 * -0.1268701)) + ((x26 - (0.0056466204 / (((x22 * x19) + (x2 + -0.11849867)) + (x8 + x8)))) - -0.0029476166)) * 1.0510043"
29,0.00067724247,"((x2 * (((x19 + (x12 * -0.1268701)) + x8) * -0.1268701)) + (x26 - (0.0056466204 / ((((x19 * x22) + -0.11849867) + x8) + (x2 + x8))))) * 1.0510043"
