Complexity,Loss,Equation
1,0.024328822,"x26"
3,0.023910621,"x26 + 0.020435615"
5,0.019323759,"x26 + (0.027719166 / x2)"
7,0.009234892,"x26 + (0.0012943215 / (x2 - 0.11044007))"
9,0.0050684526,"x26 + (0.0076835323 / ((x8 + x2) + -0.10418008))"
11,0.004370576,"x26 + ((-0.012501952 / (x2 / (x26 + -0.9996016))) / x2)"
13,0.0041395794,"x26 + (-0.012280911 / (x2 / (x17 + ((x26 + -1.0495883) / x2))))"
15,0.0032222844,"(x26 + ((-0.012239728 / (x2 / (x26 + -1.0214653))) / x2)) + (x17 * -0.0742507)"
17,0.002772135,"(x26 + (x17 * -0.08608057)) + ((-0.012270691 / (x2 / ((x26 + -1.0567275) / x2))) - 0.023359116)"
19,0.0022418178,"(x26 + (((-0.16276698 / (x2 * 13.741914)) / (x2 / (x26 + -0.8996903))) - (x22 * 0.1637248))) / 0.8372404"
21,0.001962717,"(x26 + (((-0.017984062 / ((x2 * 13.193373) * x2)) / (x2 / (x26 + -0.89677286))) - (x22 * 0.16745919))) / 0.8457325"
23,0.0019512171,"((((-0.017953932 / ((x2 * x2) * 13.193376)) / (x2 / (x26 + -0.90218467))) - ((x22 - -0.018037839) * 0.16808985)) + x26) / 0.84628505"
25,0.0015523531,"(((-0.012183918 / (x2 * x2)) / (0.9564742 / (x2 + (x26 + (-0.874657 - (x23 * 0.27413976)))))) + (x26 - (x23 * 0.23878354))) / 0.7670914"
