Complexity,Loss,Equation
1,0.011659159,"x26"
3,0.011568309,"x26 * 0.97930884"
5,0.010420401,"x26 + (x18 * -0.07870546)"
7,0.0098401345,"x26 + ((x19 + x8) * -0.07704732)"
9,0.009413344,"(x26 - ((x2 + x19) * 0.13015702)) - -0.13325514"
11,0.0075603654,"((x26 * 0.84553146) - ((x8 + x2) * 0.3221785)) - -0.3463766"
13,0.007559871,"((x26 * 0.844718) - ((x8 - (x2 / -0.9895394)) * 0.32120687)) + 0.3486643"
15,0.0055327993,"((x26 + (x2 + -1.214866)) * ((0.6180265 - x8) * (x2 + -1.2253612))) + x26"
17,0.0052351374,"x26 + ((x26 + (x2 + -1.1747365)) * (((x2 + -1.1756966) * 1.4449518) * (0.56079036 - x8)))"
19,0.004730879,"x26 + (((0.65269536 - (x8 - ((x2 + x26) * -0.54447836))) * (-1.1004565 + x22)) * (-1.248972 + x2))"
21,0.0035307498,"(((1.2653103 - (x26 * x26)) * (1.2054665 - (((x12 * 0.24218746) + (x8 - -1.1854144)) * x2))) + x26) / 1.2814299"
23,0.0021589566,"((0.74822456 - (x2 * ((x12 * 0.15432367) + ((x8 - -1.4274179) * 0.51672685)))) * (1.3669826 - (x26 * x26))) + (x26 / 1.2468253)"
25,0.0020916986,"(x26 / 1.2289517) + ((0.37642816 - (((x12 * 0.04664792) + 0.2477804) * (x2 * (x8 - -1.4922051)))) * (2.6778045 - ((x26 + x26) * x26)))"
27,0.0019274344,"(x26 + ((0.46773264 - ((x2 * ((x12 * 0.055601053) + 0.29920843)) * (x8 - -1.5295123))) * (2.7964454 - ((x26 + (x26 + 0.25538188)) * x26)))) * 0.811651"
29,0.0018250289,"(x26 + ((2.6192923 - ((x26 + x26) * ((x26 * 0.8465944) + 0.13458152))) * (0.5055545 - ((x8 - -1.5444397) * (((x12 * 0.059450608) + 0.3204995) * x2))))) / 1.2641448"
