Complexity,Loss,Equation
1,0.012490937,"x26"
3,0.012101905,"x26 + 0.01972324"
5,0.010919009,"(0.015911007 / x2) + x26"
7,0.010566798,"(0.020171843 / x2) + (x26 * 0.9533408)"
9,0.009220149,"(x26 + 0.14965826) + ((x19 + x2) * -0.14850202)"
11,0.009090745,"(x26 + 0.18410447) + ((x2 * -0.18384919) - (x19 * 0.14259917))"
13,0.0037207047,"(((x25 - ((x19 + x8) / 2.327322)) + -0.9989697) * x2) - -1.0219615"
15,0.0022896505,"(((x25 + (-1.5160143 - ((x14 / 2.4280689) + x8))) * x2) + 1.5586103) * 0.71098983"
19,0.0021518585,"(((((x12 * 0.07722066) + 0.54050803) * (-1.8830781 - (x8 + (x21 / 1.6130127)))) + x25) * x2) - -1.0427665"
21,0.0012307178,"((x25 + ((-1.8431307 - ((x2 * (x21 / 1.6214393)) + x8)) * ((x12 * 0.07517077) + 0.5536395))) * x2) - -1.0458773"
23,0.0012307102,"((x2 * (x25 + (((x12 * 0.07524945) + 0.55360085) * (-1.8429685 - (x8 + ((x21 / 1.6215863) * x2)))))) - -1.0456761) - x4"
25,0.001048387,"((((((x12 * 0.1282738) + 0.5491528) * (-1.8354546 - (x8 + ((x2 * x21) / 1.5577627)))) + x25) * x2) - -1.0335183) + (x13 * 0.11105434)"
27,0.0010396187,"((x13 + 0.07645945) * 0.14709066) + (((x25 + (((x12 * 0.15146458) + 0.5549699) * (-1.8582858 - (x8 + ((x21 * x2) / 1.5888927))))) * x2) - -1.0469242)"
29,0.0010208989,"((((((x12 * 0.14005502) + 0.55647385) * (-1.8402231 - (x8 + ((x2 * x21) / 1.556402)))) + x25) * x2) - -1.0569676) + (((x13 - 0.047034003) - x7) * 0.13325368)"
