Complexity,Loss,Equation
1,0.023012677,"x26"
3,0.02262683,"x26 * 0.9613037"
5,0.02165392,"(x8 * -0.15146655) + x26"
7,0.011535032,"x26 - (-0.00027138827 / (x2 + -0.112218864))"
9,0.01070638,"(x26 - (-0.00036925255 / (x2 + -0.112135746))) / 1.0607834"
11,0.01013061,"(x8 * -0.14668968) + (x26 - (-0.00030282803 / (x2 + -0.11220357)))"
13,0.009236395,"((x26 - (-0.00034234647 / (x2 + -0.11215712))) * 0.9446591) + (x8 * -0.14668983)"
15,0.007811368,"(x2 * ((((x8 - -4.3195376) + x12) / -4.4385386) - (-0.8036405 * x26))) + 1.0126748"
17,0.00779152,"(((((x8 - -4.3195376) + x12) / -4.4385386) - ((x6 - 0.7751056) * x26)) * x2) + 1.0126748"
19,0.004137019,"(x2 * ((((x12 + 3.0173275) - ((-0.73369324 - x8) * 2.8504217)) / -4.95981) - (x26 * -0.724022))) + 1.0833191"
21,0.0036569212,"(x2 * (((((x8 * 2.5193572) + (x12 / (x26 + 1.6786554))) - -4.2024794) / -4.1938353) - (x26 * -0.7437739))) + 1.0647302"
25,0.0036548509,"(1.0650665 - x4) + ((x2 * ((((x8 * 2.4957187) + ((x12 / (x26 + 1.6912891)) - -4.20026)) / -4.1896243) - (x26 * -0.74455166))) + x11)"
29,0.0034293977,"(((((x12 - ((x25 - x2) - (x8 * 2.6629915))) + 3.1504788) / (-4.6001678 - ((x26 * 0.5050644) / (x2 * x2)))) + (x26 * 0.38833228)) * x2) - -0.96271044"
