Complexity,Loss,Equation
1,0.011972429,"x26"
3,0.011782365,"x26 + 0.013810148"
5,0.01073578,"x26 + (x17 * -0.07807471)"
7,0.010303562,"(x22 * -0.1622444) + (x26 * 1.1250455)"
9,0.008900601,"((x26 + -1.0107661) * (-0.041550584 / x2)) + x26"
11,0.004292407,"((-0.012584503 / x2) * ((x26 + -0.9905738) / x2)) + x26"
13,0.0042423937,"(((x26 + -0.9641858) * ((-0.012754194 / x2) / x2)) + x26) * 1.0195297"
17,0.0033633292,"x26 + ((((x26 + -0.99705863) * (x2 + -1.107968)) * (x2 + (x8 + -1.2557876))) * -0.87683815)"
19,0.0032344298,"(x26 + (((x2 + -1.1264647) * (x26 + -1.0436598)) * ((x2 + (x8 + -1.2379973)) * -0.8686271))) / 1.0351094"
21,0.002767605,"(((x26 + -1.0079656) * ((x2 + -1.254394) * ((x23 + 1.0407408) * ((x18 + x2) + -1.1103626)))) * -0.68130416) + x26"
23,0.0022927627,"x26 + ((((x26 + -1.0175233) * ((x23 + 1.041805) * (x18 + ((x2 + -1.0108163) / 0.68222916)))) * (x2 + -1.3603735)) * -0.50595105)"
25,0.0021624644,"(x26 + 0.036129285) + ((x2 + -1.3504642) * (((x18 + ((x2 + -0.8771481) / 0.5503458)) * -0.5191882) * ((x23 + 0.9524247) * (x26 + -0.989238))))"
27,0.0021614842,"((x26 + 0.036572926) + ((((x23 + 0.9553773) * (x26 + -0.98758614)) * ((((x2 + -0.87636125) / 0.55676) + x18) * (x2 + -1.3510288))) * -0.5233059)) * 1.0051535"
