Complexity,Loss,Equation
1,0.014259419,"x26"
3,0.013968715,"x26 - -0.017085424"
5,0.012693033,"(0.01579153 / x2) + x26"
7,0.010692496,"x26 + (0.034178607 / (x8 + x2))"
9,0.00524815,"x26 + (-0.0010173485 / ((x8 + -0.11366792) + x2))"
11,0.0047968463,"x26 - (-0.0018978841 / (x8 + (x2 / (5.8326807 / x2))))"
13,0.004754512,"x26 - (-0.0020749848 / (x8 + (x2 / ((5.3704634 / x2) - x22))))"
15,0.003793411,"(x26 - (-0.0019501289 / ((x2 / (5.604794 / x2)) + x8))) - (x17 * 0.07527197)"
17,0.0036360498,"((x26 - (-0.0019501289 / ((x2 / (5.604794 / x2)) + x8))) - (x17 * 0.07527197)) - 0.013608065"
19,0.0025801547,"-0.12786163 - ((x26 * -1.1481104) + ((((x26 / -8.914856) + 0.10799015) * (x19 + -1.2283758)) / (x2 + x8)))"
21,0.002490319,"-0.122563094 - (((x19 + -1.0383878) * (((x26 / -8.908265) + 0.12078764) / ((x8 + x2) + x8))) + (x26 * -1.1116532))"
23,0.0024475954,"-0.12233249 - ((((x26 / -8.919323) + 0.1298459) * ((x19 + -0.9654485) / (x8 + (x2 + (x8 / x2))))) + (x26 * -1.1144207))"
25,0.0024215453,"-0.12205918 - ((((x19 + -0.96037203) / (x2 + (((x8 + x8) / 1.0481497) / x2))) * ((x26 / -8.919553) + 0.13028088)) + (x26 * -1.1158726))"
