Complexity,Loss,Equation
1,0.019717753,"x26"
3,0.019621894,"x26 + 0.009769114"
5,0.017749257,"x26 - (-0.016542047 / x2)"
7,0.009073807,"x26 - (-0.00063675916 / (x2 + -0.11162532))"
9,0.009047552,"x26 - (-0.00063675916 / (-0.10956949 + (x2 / 1.0187628)))"
11,0.0059774877,"x26 - ((0.012338328 / x2) * ((x26 - 1.0043372) / x2))"
13,0.0055975094,"x26 - (0.0123615675 * (x18 + (((x26 - 0.9861288) / x2) / x2)))"
15,0.005190796,"x26 - (((x19 - (0.94223136 - x2)) / (x2 + (x26 * x26))) * 0.14860898)"
17,0.0035508745,"x26 - ((0.14332844 / (x2 + ((x26 + 0.48801887) * x26))) * (x19 - (0.8961378 - x2)))"
19,0.003100876,"((x26 - ((x26 - 0.8898044) * (0.11148692 / x2))) * 1.2740829) - (((x2 * 0.21265575) * x21) + 0.13870737)"
21,0.0020978635,"((1.2897149 * x26) - ((((x26 - 0.7951383) / x2) + x8) * 0.14459378)) - ((x2 * 0.24565466) * (x22 - -0.4725693))"
