Complexity,Loss,Equation
1,0.03019323,"x26"
3,0.029251799,"x26 / 1.0647806"
5,0.027003145,"x26 - (x19 * 0.11890315)"
7,0.024984235,"(x26 + (0.03144022 / x2)) * 0.8778517"
9,0.019064715,"(((x26 * -0.06684732) + 0.06379347) / x2) + x26"
11,0.009932698,"((((x26 * -0.10629283) + 0.12468342) / x2) + x26) + -0.1414627"
13,0.008662015,"(((x26 * -0.10389929) + 0.1309091) / (x8 + x2)) + (x26 + -0.1384505)"
15,0.0071977265,"((((x26 * -0.10314122) + 0.12548828) / x2) + -0.15001176) + ((x17 * -0.112289354) + x26)"
17,0.006041265,"(((((x26 * -0.12580648) + 0.13076614) / x2) + -0.14713249) + (x26 / 0.8892795)) - (x18 * 0.15298338)"
19,0.005612151,"(((-0.12719037 - ((x2 * x20) * 0.16254951)) + x26) / 0.83768123) + (((x26 * -0.13456897) + 0.12979633) / x2)"
21,0.0046190005,"((((x26 * -0.11248797) + 0.11808553) / x2) + (x26 + (-0.13162337 - ((x19 + x8) * (x2 * 0.14074633))))) / 0.9036445"
23,0.0041549397,"((((x26 * -0.11395452) + 0.10529975) / x2) + (x26 + ((-0.11529648 - ((x8 + (x19 * 0.82601345)) * 0.18938318)) * x2))) / 0.90898705"
25,0.004154939,"((((((x26 * -0.11395452) + 0.10529975) / x2) + x26) + (x2 * (-0.11529648 - ((x8 + (x19 * 0.82601345)) * 0.18938318)))) / 0.90898705) - x6"
27,0.0040864903,"(((x26 - ((x19 + (x8 + (x26 * (x12 * x8)))) * (x2 * 0.16167459))) + (((x26 * -0.11244303) + 0.114075385) / x2)) / 0.87601686) + -0.14458007"
29,0.0035642711,"(((x26 - (((x8 + x19) + (x26 * ((x12 * x26) * x26))) * (x2 * 0.16311494))) + (((x26 * -0.11186768) + 0.11328272) / x2)) / 0.87277895) + -0.1449795"
