Complexity,Loss,Equation
1,0.019095017,"x26"
3,0.019046322,"x26 - -0.006969246"
5,0.01734862,"x26 + (0.015585631 / x2)"
7,0.012961464,"x26 + (0.002202155 / (x2 - 0.10848062))"
11,0.008163013,"(((-0.13382374 / x2) + x26) * (-0.07670595 / x2)) + x26"
13,0.006738115,"((((-0.1291524 / x2) + x26) / (x8 + x2)) * -0.09057279) + x26"
15,0.0061715986,"(((((-0.13492979 / x2) + x26) / (x8 + x2)) * -0.09053356) + x26) + -0.025186596"
17,0.005014316,"((((x26 * -0.10112393) / x2) - ((x8 - -0.7361438) * 0.17168601)) + x26) - (-0.12458696 / x2)"
19,0.0038955815,"((((x26 - (-0.108337305 / x2)) + -0.11605683) + ((x26 * -0.108573735) / x2)) - (x18 * 0.113322936)) / 0.8560022"
23,0.0022283988,"((x26 - ((x2 / (2.0374963 - x8)) - (x16 * -0.13987358))) + ((((x26 / 1.5580032) - 0.38998482) * -0.17680798) / x2)) + 0.438963"
25,0.0022263434,"((x26 - ((x2 / (2.0374963 - x8)) - (x16 * -0.13987358))) + (((((x26 / 1.5580032) - 0.38998482) * -0.17680798) / x2) + 0.438963)) / 0.9988782"
27,0.001984312,"(x26 - (x2 / (1.9624782 - x8))) + (0.45355862 + (((-0.11722372 / x2) * x26) - (((-0.31919143 / (x2 / 1.5294294)) + (x16 * x2)) / 7.1362205)))"
29,0.001981737,"((-0.115811735 / x2) * x26) + (((x26 - (x2 / (1.9645168 - x8))) - x6) + (0.45491216 - (((-0.30954394 / (x2 / 1.5273914)) + (x16 * x2)) / 7.078897)))"
