Complexity,Loss,Equation
1,0.013918388,"x26"
3,0.013722938,"x26 + 0.013980334"
5,0.012546748,"x26 - (x17 * 0.07883719)"
7,0.010482344,"(0.001546215 / (x2 - 0.1080193)) + x26"
9,0.0061679594,"x26 + (0.010177407 / (x2 + (x8 + -0.10103135)))"
11,0.005032247,"x26 + ((1.0042754 - x26) * (0.009767909 / (x2 + -0.102670744)))"
13,0.0046863523,"(-0.0129952505 * (x17 + (((x26 - 0.9820686) / x2) / x2))) + x26"
15,0.0037772951,"x26 + ((((0.99161017 - x26) * ((-1.1533954 / x2) + 1.218969)) + x18) * -0.10789637)"
17,0.0028415676,"x26 + ((((x8 + x19) + 1.288244) + (-1.2677218 / x2)) * ((1.0035082 - x26) * -0.10024885))"
19,0.0027259241,"(((((x23 + 1.0305909) * x18) + 0.69293195) + (-0.7364401 / x2)) * ((0.98258644 - x26) * -0.16858593)) + x26"
21,0.0026630822,"x26 + (((0.99933183 - x26) * -0.10502305) * ((((x23 + 1.092022) * x19) * 1.5680463) + ((-1.2069433 / x2) + 1.1986715)))"
23,0.002321211,"x26 + ((0.99818677 - x26) * ((((-1.1923709 / x2) + x20) + (((x17 * (x26 + 0.48461738)) + x8) + 1.2188126)) * -0.10781892))"
25,0.0019876754,"x26 + (((1.0019096 - x26) * (((-1.1235965 / x2) + x19) + ((x8 + ((x26 + 0.3294306) * (x19 - x26))) + 1.2287866))) * -0.115996085)"
27,0.0019118612,"x26 + ((1.0019096 - x26) * (((x19 + (((-1.1235965 / x2) + x8) + ((x19 - (x26 + 0.21442465)) * (x26 + 0.3294306)))) + 1.2287866) * -0.115996085))"
29,0.0018999988,"(x26 + ((1.0016544 - x26) * (((x19 + (-1.1209421 / x2)) + (((x26 + 0.30727747) * (x19 - (x26 + 0.20534872))) + (x8 + 1.2009643))) * -0.1143535))) - x1"
