Complexity,Loss,Equation
1,0.03984875,"x26"
3,0.03834367,"x26 / 1.0842489"
5,0.03348893,"x26 + (0.03148244 / x2)"
7,0.021741992,"(0.099184245 / x2) + (x2 * x26)"
9,0.016419666,"((x26 * x2) + (0.12270615 / x2)) - 0.094193526"
11,0.008895974,"x26 + ((0.013658816 / (x2 - 0.09581959)) * (1.0262802 - x26))"
13,0.008663097,"(((1.0384579 - x26) / (x2 - 0.09248893)) * 0.016807212) + (x26 + -0.019923262)"
15,0.0071684862,"(x26 + (((0.1086408 / x2) - 0.113297306) * (1.0212276 - x26))) + (-0.108835585 * x17)"
17,0.006226866,"((1.0301334 - x26) * (((0.10570372 / x2) - 0.10833949) + ((x8 + x19) * -0.101759784))) + x26"
19,0.005400726,"x26 + ((x19 * ((0.039634757 / x2) - 0.20805354)) + (((0.11166789 / x2) - 0.12946512) * (1.0217863 - x26)))"
21,0.004075053,"x26 + ((((((x8 + x19) * ((0.019145995 / x2) - 0.12838902)) + 0.12056666) / x2) - 0.11903265) * (1.0005397 - x26))"
23,0.004074829,"x26 + ((((((((0.019135373 / x2) - 0.12848401) * (x19 + x8)) - 0.011903688) + 0.13235623) / x2) - 0.1192066) * (1.0018638 - x26))"
25,0.004027873,"(x26 + (((((((x19 + x8) * ((0.018955331 / x2) - 0.12657657)) - 0.0118697155) + 0.13238984) / x2) - 0.12319944) * (1.0262802 - x26))) * 0.9804965"
