Complexity,Loss,Equation
1,0.010493649,"x26"
3,0.010398289,"x26 + 0.00976507"
5,0.0087709,"(x17 * -0.08897457) + x26"
7,0.008388589,"((x22 * 0.15909746) - x26) / -0.88145614"
9,0.007953384,"x26 - ((x19 + (-0.1477877 / x2)) * 0.095956355)"
11,0.0053428207,"x26 + ((((-0.012298295 * x26) - -0.012285663) / x2) / x2)"
13,0.0051810523,"((((-0.012616262 * x26) - -0.012616262) / (x2 + x8)) / x2) + x26"
15,0.003796094,"((x17 * -0.08499339) + x26) + ((((x26 * -0.01167995) - -0.012024778) / x2) / x2)"
17,0.0031582147,"(((1.0007194 - x26) * (-0.1886866 - (-0.12814236 / x2))) + 0.056338325) + ((x19 * -0.15169688) + x26)"
19,0.003138363,"(x19 * -0.14958073) + ((((x26 - 1.0195559) * ((-0.53116244 - (-0.3546979 / x2)) * -0.3431239)) + 0.057400312) + x26)"
21,0.0027724379,"(0.056338325 + (((0.97343415 - (x26 + (x19 * -0.15169688))) * (-0.1886866 - (-0.12814236 / x2))) + x26)) + (x19 * -0.15169688)"
23,0.002683573,"(x19 * -0.16710758) + ((((x19 * 0.069876045) + ((x26 - 0.9509534) * -0.30884436)) * (-0.4506339 - (-0.42160782 / x2))) + (x26 * 1.0566854))"
25,0.0025609303,"((((x19 * (x20 * 0.106848314)) + ((x26 - 0.9404027) * -0.3359929)) * (-0.5751096 - (-0.39150462 / x2))) + ((x19 * -0.1823269) + x26)) - -0.051337168"
27,0.0025496732,"(((((x26 - 0.93476) * -0.094066605) + ((x20 * 0.03299067) * x19)) * (-0.80280393 - ((-0.14584766 / x2) / x2))) + x26) + ((x19 * -0.1560843) - -0.05170006)"
29,0.0025106387,"((x26 + ((((x19 * x20) * 0.047346897) + ((x26 - 0.93688184) * -0.15123034)) * (-0.6296645 - ((-0.24609621 / x2) / (x2 - -0.18939473))))) + (x19 * -0.16577871)) - -0.053010873"
