Complexity,Loss,Equation
1,0.03629208,"x26"
3,0.0352583,"x26 / 1.0579978"
5,0.032181293,"(0.020990223 / x2) + x26"
7,0.009045709,"(-0.00011087995 / (x2 - 0.1125974)) + x26"
9,0.008712652,"x26 + (-0.00011301439 / ((x2 + x8) - 0.11259747))"
11,0.007967767,"x26 + ((-0.020090705 / (x2 + -0.08587776)) * (x26 - 0.9973618))"
13,0.0068330807,"(x26 + -0.09998698) + ((((x26 - 1.185786) / x2) + x8) * -0.085098386)"
15,0.006079397,"((x26 - 1.1994191) * (-0.08370304 / x2)) + (((x8 * -0.18405724) + x26) - 0.086949475)"
17,0.0051523806,"((x26 - 1.0284566) * ((x8 + ((x19 + (-0.9647026 / x2)) + 1.0255126)) * 0.09446935)) + x26"
19,0.005145489,"(x26 + ((x26 - 1.039916) * (((x8 + (x19 + (-0.9710916 / x2))) + 0.9744406) * 0.09313997))) - 0.0074609634"
21,0.003405893,"(((x26 - 1.004776) * (((((x16 * x25) + (x8 - 1.0016052)) / x2) + x19) + 0.96582085)) * 0.12007017) + x26"
25,0.0031918085,"x26 + (((x22 + 1.089338) + (((x26 * 0.334957) - -0.8295428) / ((x2 * (-0.8321297 - x8)) - x8))) * ((x26 - 1.0064828) * 0.13105138))"
27,0.0031878778,"(((((((x26 * 0.32920617) - -0.8160154) / (((-0.8334447 - x8) * x2) - x8)) + (x22 + 1.1091336)) * (x26 - 1.0003489)) * 0.13389286) + x26) + 0.0054997676"
29,0.0031878138,"(((((((x26 * 0.32846454) - -0.8130131) / (((-0.8339233 - x8) * x2) - x8)) + x22) + 1.1085494) * (x26 - 0.9994982)) * 0.13455755) + ((x26 - x7) + 0.0059417277)"
