Complexity,Loss,Equation
1,0.018603602,"x26"
3,0.018435119,"x26 + 0.0129785985"
5,0.016783554,"x26 + (0.015809298 / x2)"
7,0.0072697434,"(-0.00018744389 / (x2 + -0.1126817)) + x26"
9,0.005579778,"(0.0016761238 / ((x2 - x8) + -0.11070862)) + x26"
13,0.0047903964,"x26 + ((((x26 + -1.2957819) / (x2 + x8)) * -0.096097484) + -0.118775986)"
15,0.0039798017,"(x26 + ((((x2 + (x26 + -0.9699054)) / x2) + x18) * -0.10990651)) / 0.8451089"
17,0.0031212335,"(x26 + ((((x26 + -0.93926156) / (x8 + x2)) + (x17 + x2)) * -0.11305124)) / 0.9249601"
19,0.0025957094,"x26 + ((((x26 + -1.0094672) / (x2 + x8)) + (((x8 + x2) + x17) * x2)) * -0.11415662)"
21,0.0023954215,"x26 + ((((x26 + -1.0111512) / (x2 + (x8 + x8))) + ((x2 + (x8 + x17)) * x2)) * -0.11314927)"
23,0.0023101831,"x26 + ((((x26 + -1.0130705) / x2) + (x2 * ((x8 + x8) + ((x2 + x8) * (x2 + x17))))) * -0.11180607)"
25,0.0021700687,"(((((x26 + -0.9546134) / (x2 + x8)) + (x2 * (((x2 * (x2 + x17)) + x8) + x8))) * -0.11826975) + 0.019614039) + x26"
27,0.0020880485,"((((x26 + -1.0234042) / x2) + ((x8 + (x8 + (((x8 + x2) + x17) * (x2 + (x19 * 0.39410174))))) * x2)) * -0.11033942) + x26"
29,0.0020419778,"x26 + (((((x26 + -1.001085) / x2) + (((((x2 + (x8 + x17)) * (x2 + (x17 * 0.3274868))) + x8) + x8) * x2)) * -0.11229263) + 0.009648903)"
