Complexity,Loss,Equation
1,0.034454614,"x25"
3,0.03322506,"x25 / 1.0775578"
5,0.02667116,"x25 + (x19 * -0.18608208)"
7,0.024239233,"((x21 - x26) * -0.28012154) + x25"
9,0.02135776,"((x21 - x26) * -0.30085665) + (x25 / 1.125919)"
11,0.01827872,"((x16 + ((x26 - x17) * 1.336868)) + x25) * 0.4510747"
13,0.018126322,"(x16 + (x25 + (((x26 - x17) * 1.3245994) + 0.027752176))) * 0.45280516"
15,0.016063327,"((x2 + (x8 + (x25 * -1.6538513))) * -0.49188593) + ((x17 * -0.1367531) - -0.5187529)"
17,0.015304094,"((3.910337 - x17) * 0.14310415) + (((x2 + (x25 * -1.3626915)) + (x2 * x8)) * -0.5490651)"
19,0.012884843,"(((x26 + x25) - x17) * 0.4464265) + (((((x2 + x8) * -1.1073474) + x16) + 1.1880468) * 0.32968524)"
21,0.009322041,"(((x26 - (x17 * x2)) + 4.5876126) * 0.19317184) + ((((x8 + (x25 * -0.7035805)) * x2) + x2) * -0.84127736)"
23,0.008392565,"((x26 + ((x25 + 2.8927026) - (x17 * x2))) * 0.22689393) + (((((x25 * -0.63531303) + x8) * x2) + x2) * -0.63158095)"
25,0.008330197,"((((x26 - (x17 * x2)) + (x8 - -0.14900234)) + 4.077072) * 0.20565632) + ((x2 + ((x8 + (x25 * -0.74544406)) * x2)) * -0.84769344)"
27,0.0075827064,"(((x26 - (x17 * (x2 + 0.2727993))) + ((x8 - -0.14900234) + 4.077072)) * 0.20565632) + ((x2 + ((x8 + (x25 * -0.74544406)) * x2)) * -0.84769344)"
29,0.0075777597,"((((x26 - (x17 * (x2 + 0.26229605))) + (x8 + 4.0807056)) * 0.20951568) + ((x2 + (x2 * ((x25 * (x10 + -0.7559904)) + x8))) * -0.83448935)) + x3"
