Complexity,Loss,Equation
1,0.47507933,"0.10960392"
3,0.4071952,"x12 * -0.0066013336"
5,0.35753497,"(x25 - x12) * 0.0065502725"
7,0.34068865,"((x16 + x12) - x25) * -0.005785425"
9,0.31687465,"((x25 + (x14 - x15)) - x12) * 0.0067600263"
11,0.30501658,"((x12 - ((x2 * x25) - x15)) - x14) * -0.006957682"
13,0.29547402,"((x12 - (((x21 + x25) * x2) - x15)) - x14) * -0.006887828"
15,0.28512406,"((x12 - ((x2 * (x25 + (x21 + x8))) - x15)) - x14) * -0.0073803323"
17,0.2800858,"((x12 - ((x2 * (x21 + ((x25 - x16) + x8))) - x15)) - x14) * -0.0071191164"
19,0.2781493,"(((x12 - ((x2 * (x21 + ((x25 + x8) - x16))) - x15)) - x14) * -0.00701809) + 0.044476394"
21,0.27457333,"(((x12 - (x2 * (x21 - 18.036888))) + (-21.385298 - (((x8 + x25) * x2) - x15))) - x14) * -0.0069870492"
23,0.26756877,"(((-33.352108 + (x12 - ((x21 - 28.144396) * x2))) - x14) - (((x8 + x25) * (x2 - -0.50149834)) - x15)) * -0.0061348565"
25,0.25908944,"((((x12 + -30.355347) - (x2 * ((x8 + x21) - 24.881296))) - x14) - (((x2 - -0.5036012) * (x25 + x8)) - x15)) * -0.006537659"
27,0.24730846,"((x12 - ((x2 * ((x21 + (x8 + x8)) + -15.098592)) / 0.41698796)) + ((-39.643543 - x14) - (((x2 - -0.71366113) * x25) - x15))) * -0.006130267"
29,0.24632338,"((((-36.506683 - x14) - (((x8 + x25) * (x2 - -0.72698754)) - x15)) + x12) - (x2 * (((x8 + x21) + (x8 - 19.452946)) / 0.5397436))) * -0.0063714352"
