Complexity,Loss,Equation
1,0.01838612,"x26"
3,0.018196197,"x26 * 0.971392"
5,0.017097197,"x26 + (x19 / -13.248768)"
7,0.014055117,"x26 - (-0.0021340689 / (x2 + -0.10780045))"
9,0.009737715,"x26 - (-0.004264768 / (x2 + (x8 + -0.107486464)))"
11,0.009493223,"(x26 - (-0.004264768 / (x8 + (x2 + -0.107486464)))) * 0.97903854"
13,0.008638085,"((x26 / (x2 / -0.09705606)) + x26) - ((-0.1140755 / x2) + 0.121288784)"
15,0.0081308335,"((((x26 * -0.10834688) / x2) + x26) - ((-0.11338433 / x2) + 0.11404999)) * 1.0742546"
17,0.0071952613,"(x26 + (x26 / (x2 / -0.09782152))) - (((-0.118465096 / x2) + 0.13365074) - (x15 * -0.08172453))"
19,0.005635403,"(((x26 / (x2 / -0.1112685)) - ((-0.112227075 / x2) + (0.11749879 - (x19 * -0.11136888)))) + x26) * 1.1675774"
21,0.0050261593,"((x26 / (x2 / -0.124680534)) - (((-0.13255551 / x2) + 0.13441108) - ((x19 + x8) * -0.09762802))) + (x26 * 1.1087905)"
23,0.0038060565,"(((x26 / (x2 / -0.11477342)) + x26) - (((-0.10720206 / x2) + 0.11157673) - (((x22 + x8) * x2) * -0.1581611))) * 1.2219627"
25,0.0038060562,"(x26 + ((x26 + (x26 / (x2 / -0.22956909))) - (((-0.21441363 / x2) + 0.22315425) - ((x2 * (x22 + x8)) * -0.31635776)))) * 0.61100584"
27,0.0037329323,"((x26 / (x2 / -0.22941457)) + ((x26 - ((0.24797848 - ((x2 * -0.40152594) * (x8 + (x19 * 0.5600015)))) + (-0.23792627 / x2))) + x26)) * 0.55621076"
29,0.003502923,"((x26 / (x2 / -0.23208523)) + ((x26 + x26) - ((-0.2169134 / x2) + ((-0.019802853 - (x2 * (x8 + ((x19 * 0.51743865) + 0.42720142)))) * -0.49715248)))) * 0.5474531"
