Complexity,Loss,Equation
1,0.018224344,"x26"
3,0.018163621,"x26 * 0.9847229"
5,0.016799439,"(x17 * -0.07833081) + x26"
7,0.016332192,"((x18 + x8) * -0.07285034) + x26"
9,0.012874121,"x26 + ((x26 + -1.0229841) / (x2 / -0.048570734))"
11,0.006797897,"(((x26 + -1.195203) / (x2 / -0.094636135)) + -0.12654035) + x26"
13,0.0049580606,"((((x26 + -1.1917092) / (x2 + x8)) + 1.2090204) / -9.628576) + x26"
15,0.003771608,"(((x17 + (((x26 + -1.0517989) / x2) - x26)) / -8.394701) + -0.1378619) + x26"
17,0.0029674403,"(((x2 + x18) - ((x26 - ((x26 + -0.92044574) / x2)) - x8)) / -7.925055) + x26"
19,0.0022386604,"x26 + ((((x19 + 0.92992896) * x2) - ((x26 - ((x26 + -0.91197896) / x2)) - x8)) / -7.923396)"
21,0.0021212858,"x26 + ((((x19 + 0.92992896) * x2) - ((x26 - ((x26 + -0.91197896) / x2)) - x8)) / (x2 + -7.923396))"
25,0.0017846002,"(((x2 * ((x19 - ((x26 * x26) - 1.0445176)) + x8)) - ((x26 - ((x26 + -0.909031) / x2)) - x8)) / -8.059246) + x26"
27,0.0017371946,"(((x2 * ((x19 - (((x26 * x26) - 1.1678908) * 0.8708128)) + x8)) - ((x26 - ((x26 + -0.91116977) / x2)) - x8)) / -8.058669) + x26"
