Complexity,Loss,Equation
1,0.033895493,"x26"
3,0.03301864,"x26 * 0.94801486"
5,0.03008863,"x26 + (0.020548526 / x2)"
7,0.024760444,"(0.046775103 / (x8 + x2)) + x26"
9,0.014293386,"(((0.9827613 - x26) / x2) * 0.0656414) + x26"
11,0.0073903236,"(((x26 - 1.0308338) * -0.015462721) / (x2 + -0.09232743)) + x26"
13,0.0065363166,"(x26 + ((x8 - ((1.1894089 - x26) / x2)) * -0.08625316)) + -0.10329301"
15,0.0058598514,"((((x15 + x8) + 1.2991747) - ((1.196753 - x26) / x2)) * -0.08494623) + x26"
17,0.0055280253,"x26 + ((x8 - (((1.2172369 - x26) / x2) + (-1.3756448 - (x16 * x2)))) * -0.08480056)"
19,0.0047091884,"(x26 * 1.1283073) + (-0.10402069 * ((x8 - ((0.88653374 - x26) / x2)) + ((0.6861625 + x19) * x2)))"
21,0.004171822,"(x26 * 1.1283073) + ((x8 - (((0.88653374 - x26) / x2) + (-1.3459797 * ((x19 + 0.6861625) * x2)))) * -0.10402069)"
23,0.004026529,"(x26 * 1.0896667) + ((x8 - (((0.92003304 - x26) / x2) + ((x19 + 0.8555473) * (x2 * (-1.086661 - x8))))) * -0.09918777)"
25,0.0038065428,"(x26 * 1.0819246) + (((x8 + x8) - (((x2 * -1.3163211) * ((x19 + 0.7203161) * x2)) + ((0.95117265 - x26) / x2))) * -0.09733553)"
27,0.0037277353,"((x8 - (((x19 + 0.8769387) * ((x2 * (-1.0573815 - (x8 / 0.5444625))) * x2)) + ((0.9280192 - x26) / x2))) * -0.09856632) + (x26 * 1.0847099)"
