Complexity,Loss,Equation
1,0.23176229,"x19"
3,0.01805411,"x26 + 0.018619869"
5,0.016209962,"(0.019235983 / x2) + x26"
7,0.008051602,"x26 + (0.0005571223 / (x2 + -0.11182456))"
9,0.0067989114,"(0.0069137644 / ((x2 + x8) - 0.10519382)) + x26"
11,0.00612325,"(x26 + (0.11834962 / (x2 + (x8 / x2)))) - 0.10029062"
13,0.0053773816,"x26 + ((((x26 + -1.3167936) / (x2 + x8)) * -0.09497021) - 0.115355715)"
15,0.0046598767,"x26 + ((0.11824042 / (x2 + (x8 / x2))) - (0.109531514 - (x18 * -0.08295958)))"
17,0.0040010246,"(x26 + (0.121279866 / (x2 + (x8 / x2)))) - (0.122038834 - (x19 * (x2 * -0.10997378)))"
19,0.0031959275,"x26 + ((x19 + (x2 + (((-1.0306977 - (x26 * -1.1918751)) / (x2 + x8)) - x26))) * -0.11701126)"
21,0.0029717973,"x26 + (((x2 + x19) + (((-1.093158 - (x26 * -1.2704602)) / ((x8 + 0.049626548) + x2)) - x26)) * -0.15287627)"
23,0.0028251205,"x26 + (((((x19 * 0.6869018) + x2) + ((-1.207943 - (x26 * -1.4793124)) / (x2 + (x8 + 0.14469907)))) - x26) * -0.22146897)"
27,0.0027715052,"((((x8 * 0.14928582) + (x19 * 0.6843571)) + (x2 + (((-1.216961 - (x26 * -1.4782325)) / ((x2 + x8) + 0.13739462)) - x26))) * -0.21238619) + x26"
29,0.0027379424,"x26 + (-0.21167159 * ((((-1.2176641 - (x26 * -1.4780723)) / ((x2 + x8) + 0.13674885)) - x26) + ((x19 * (0.6842598 + ((x22 - x26) * 0.14922917))) + x2)))"
