Complexity,Loss,Equation
1,0.01868515,"x26"
3,0.018486444,"0.014096626 + x26"
5,0.017008975,"x26 + (0.01564649 / x2)"
7,0.014620237,"x26 + (0.035596944 / (x2 + x8))"
9,0.011596971,"x26 + (0.061366566 / (x2 + (x8 / x2)))"
11,0.0067733345,"x26 + (((x26 + -1.0008099) * (-0.012441928 / x2)) / x2)"
13,0.0058556697,"((x26 + -1.0007399) * ((-0.12511279 / (x8 + x2)) + 0.10494208)) + x26"
15,0.0050383005,"x26 + ((((x26 + -1.0861187) / (x2 + x8)) + (x8 + x2)) * -0.10614715)"
17,0.0042383666,"(((x8 + x17) + (((x26 + -0.96242744) / x2) + x2)) * -0.11944651) + (x26 * 1.0962384)"
19,0.003153638,"(((((x17 + x2) + (x8 * 2.5332372)) * x2) + ((x26 + -1.0147027) / x2)) * -0.11485213) + x26"
21,0.0030633349,"x26 + ((((x26 + -1.0190632) / x2) + (x2 * ((x2 + x17) + ((x8 + x8) * 1.4794387)))) * -0.11312465)"
23,0.0029365767,"x26 + (((x2 * (x8 + (((x2 + x17) * x2) + (x8 + x8)))) + ((x26 + -1.0173528) / x2)) * -0.11512598)"
25,0.0028492275,"(x26 + (((x2 * ((x8 + x8) + ((x2 + x17) * x2))) + ((x26 + -0.95925045) / (x8 + x2))) * -0.119292885)) - -0.016482562"
27,0.0027671682,"(x26 - -0.05566967) + ((((x26 + -0.90583056) / (x8 + x2)) + (x2 * (((x2 - -0.303867) * ((x2 + x8) + x17)) + x8))) * -0.11822275)"
29,0.0027339247,"(x26 + ((((x26 + -0.9223302) / (x8 + x2)) + ((x2 * 1.1303585) * ((x8 + x8) + ((x2 + x17) * (x2 - -0.12918097))))) * -0.11685635)) - -0.051084805"
