Complexity,Loss,Equation
1,0.019450622,"x26"
3,0.019352423,"x26 - -0.009958252"
5,0.018005405,"x26 - (-0.0145242745 / x2)"
7,0.014519189,"x26 - (-0.001863986 / (x2 - 0.10873247))"
9,0.010824993,"x26 - (-0.001863986 / (x2 - (0.10873247 - x8)))"
11,0.008645834,"x26 - (-0.001863986 / ((0.610904 * (x2 - 0.10873247)) + x8))"
13,0.008286215,"x26 + ((((x26 * -0.018628433) - -0.019235801) / (x2 - 0.09320334)) + -0.023923747)"
15,0.0071169,"(x26 - (x8 * 0.17777283)) + (((x26 * -0.022321397) - -0.02305598) / (x2 - 0.08862067))"
17,0.0068229698,"(((x26 * -0.10496332) - -0.12130878) / x2) + (x26 - (((x8 * 0.2950468) * x2) + 0.10801251))"
19,0.006263353,"(((x26 * -0.09728844) - -0.10354154) / x2) + (x26 - ((x2 * 0.15153085) * (x17 + (x8 + 0.80680543))))"
21,0.0048762406,"(((x26 * -0.10721325) - -0.11265645) / x2) + (x26 - ((x2 * 0.32657254) * (x8 + ((x17 * 0.34259567) + 0.35390285))))"
23,0.004307543,"(((x26 * -0.11306692) - -0.08055029) / x2) + ((x26 - (((x17 * 0.15363622) + ((x8 * 0.4090891) + 0.39700484)) * x2)) + 0.32226273)"
27,0.004137973,"((((x26 * -0.11343577) - -0.07969518) / x2) + x26) + (0.33532214 - (((x8 * 0.37436706) + ((x17 * ((x23 * 0.07138491) + 0.17960507)) + 0.40692392)) * x2))"
29,0.0039094463,"((x26 + 0.284986) + (((x26 * -0.114162795) - -0.08627673) / x2)) - ((x17 * (((x21 * -0.16869172) * x22) + 0.22215152)) + (((x8 * 0.3204222) + 0.36477652) * x2))"
