Complexity,Loss,Equation
1,0.012907509,"x26"
3,0.012825863,"x26 + 0.00905574"
5,0.011472122,"x26 - (x18 * 0.081448935)"
7,0.0054494767,"x26 - (0.00013488313 / (x2 + -0.11263814))"
9,0.0051892307,"x26 - (0.002531111 / (x8 + (x2 + -0.115257405)))"
11,0.004994528,"x26 - (-0.0008255449 / (((x2 + -0.108699374) * 0.23671758) + x8))"
13,0.004118293,"x26 + ((x18 * -0.07788804) - (-0.005011771 / ((x8 + x2) + -0.10599081)))"
15,0.0037044538,"x26 + ((x18 * -0.08087829) - (-0.00021914943 / ((x2 + (x8 + -0.11070867)) * 0.13111918)))"
17,0.0028347964,"x26 - ((-0.20679684 / ((x26 * x26) + ((x19 - -1.4571034) * (x8 + x2)))) - -0.13764796)"
19,0.0028291484,"((x26 - (-0.21088703 / ((x26 * x26) + ((x19 - -1.4782711) * (x2 + x8))))) - 0.13833566) * 0.99455315"
21,0.0027245674,"x26 - (((-0.21655753 / ((x8 + x2) + (((x26 * x26) * 0.496912) + x8))) / (x19 - -1.6032674)) - -0.13461663)"
23,0.002545455,"x26 - (((-0.24310665 / (((x26 * (x26 * x26)) * 0.6248947) + (x8 + (x8 + x2)))) / (x19 - -1.8761919)) - -0.13355322)"
25,0.0024274956,"(x26 - (((0.22345528 / ((((x26 * ((x26 * x26) * 0.69310164)) + x8) + x8) + x2)) / (-1.7517517 - x19)) - -0.13315284)) * 1.026569"
29,0.0022964797,"(x26 + -0.15803099) - (((-0.5992494 / ((x8 + (x8 + x2)) + ((x26 * x26) - ((x18 * x26) - 0.10618152)))) / (x2 - -2.2125804)) - (x18 * -0.09963589))"
