Complexity,Loss,Equation
1,0.015116371,"x26"
3,0.015044873,"x26 * 0.9816374"
5,0.013981282,"(x19 * -0.073378004) + x26"
7,0.013478309,"x26 + ((x19 + x8) * -0.072017066)"
9,0.01168958,"x26 + (((x8 + -0.2619539) * -0.12125546) / x2)"
11,0.0070900335,"x26 + (((-0.11656899 / x2) + 0.11095573) * (x26 - 0.9971595))"
13,0.0069473614,"(((((x26 - 1.0254515) + x2) * -0.10557943) / x2) + x26) * 1.0820984"
15,0.0046863183,"((((x26 + (x2 - 0.99003416)) / x2) + x19) * -0.12732778) + (x26 / 0.84784347)"
17,0.004679412,"(((x19 + ((x26 + (x2 - 1.003022)) / x2)) * -0.12603503) + (x26 / 0.852149)) - 0.0042168535"
19,0.0040147672,"(((((x2 + x26) - 1.0445873) * (-0.106201746 / x2)) + x26) / 0.87464595) + ((x19 + x8) * -0.108983785)"
21,0.0040047504,"(((x19 + x8) * -0.108727634) - 0.005038572) + ((((((x26 + x2) - 1.061681) * -0.105365425) / x2) + x26) / 0.87947506)"
23,0.003889585,"(((((x2 + (x2 + -2.0291564)) + x8) - (x22 * -0.7094729)) * -0.4232089) * ((x2 + -1.4123226) * (x26 + -1.0081393))) + x26"
25,0.0037037854,"((x2 + -1.4222608) * (((((x2 + x8) - (x2 * (x22 * -0.7423354))) + -2.0046823) + x2) * ((x26 + -1.0042948) * -0.42783323))) + x26"
27,0.0032415604,"x26 + ((x26 + -1.0034359) * ((((x19 + x8) * (x2 + (x26 * 0.46425748))) + ((x2 + x2) + -1.9911863)) * (-0.44805372 * (x2 + -1.3958831))))"
29,0.00318368,"(x26 + 0.016428953) + (((x26 + -0.9824024) * ((((x8 + x19) * (x2 + (x26 * 0.49355182))) + ((x2 + -1.9166244) + x2)) * (x2 + -1.3874154))) * -0.4765938)"
