Complexity,Loss,Equation
1,0.018427607,"x26"
3,0.018258493,"x26 + 0.0129896775"
5,0.01679236,"x26 + (0.015297003 / x2)"
7,0.013695684,"x26 + (0.00240198 / (x2 + -0.107748955))"
9,0.0065459143,"x26 + (0.0016682713 / (x2 - (x8 - -0.11073471)))"
11,0.0065457355,"(1.0019301 * (0.0016682713 / (x2 - (x8 - -0.11073471)))) + x26"
13,0.006456812,"(0.0054815803 / ((((x8 + x8) * 1.7763997) + x2) + -0.10672934)) + x26"
15,0.00504499,"(x26 + -0.110240445) + (((0.61354554 / x2) - x8) * ((x26 + -1.1328094) / -5.5158334))"
17,0.0037672846,"((x26 + -1.0032275) * (((1.1148337 / x2) - ((x19 + x8) - -1.2048755)) / -8.681562)) + x26"
19,0.0036068857,"x26 + ((((0.82875943 / x2) - (x8 - ((x20 + 1.3465487) * -0.64005643))) * (x26 + -1.0291805)) / -6.4703045)"
21,0.0035189823,"((((0.8893795 / x2) - (x8 - (-0.6541304 * (1.346551 + x19)))) / (-6.4609103 + x26)) * (-1.0054479 + x26)) + x26"
23,0.003417477,"x26 + ((((x26 + -1.0035884) / 1.7833211) * ((1.2788697 / x2) - (((x8 - -0.7970277) * 1.5962558) + x19))) / (x26 + -5.559444))"
25,0.003322411,"x26 + (((((1.247401 / x2) - (((x8 - -0.76245165) * 1.6748507) + x19)) * (x26 + -1.0082763)) / 1.7394422) / ((x26 + x26) + -5.5586057))"
27,0.0032372894,"x26 + (((1.32215 / x2) - (((x8 - -0.798109) * 1.6496798) + x19)) * (((x26 + -1.007133) / 1.7115353) / ((x26 + x26) + (x2 + -6.204108))))"
29,0.0031578178,"x26 + ((((1.2985446 / x2) - (((x8 - -0.77974474) * 1.6716245) + x19)) * ((x26 + -1.004361) / 1.676795)) / (x26 + ((x26 + x26) + (x2 + -6.1992493))))"
