Complexity,Loss,Equation
1,0.019736899,"x26"
3,0.019529443,"x26 - -0.01440279"
5,0.017882602,"(0.016228912 / x2) + x26"
7,0.015218701,"(0.037030697 / (x2 + x8)) + x26"
9,0.0065084742,"x26 + (x2 / (x2 - (x8 / -5.188128e-6)))"
11,0.006325475,"(0.11995361 / ((x8 / x2) + x2)) + (x26 + -0.10844483)"
13,0.0052264803,"((x18 + (-1.4140719 / ((x8 / 7.294056e-5) + x2))) * -0.07819653) + x26"
15,0.0048217364,"(((x8 + x18) + (-1.414103 / (x2 - (x8 / -4.351881e-5)))) * -0.07809142) + x26"
17,0.00467834,"(x26 + ((x19 + ((-1.4140964 / (x2 - (x8 / -4.3502634e-5))) + x8)) * -0.07661938)) * 1.0198225"
19,0.0045889798,"x26 + (-0.076880895 * ((x8 + (-1.408325 / (x2 - (x8 / -4.428148e-5)))) + (x18 - (x26 * x18))))"
21,0.004471409,"(x26 + (((x8 + (-1.408325 / (x2 - (x8 / -4.428148e-5)))) + (x18 - (x26 * x18))) * -0.076880895)) * 1.0230714"
23,0.0042932457,"((x8 + (((x15 + (0.43720704 / ((x8 / 0.00028593958) + x2))) * (-0.26914 / x2)) - (0.0065518413 - x17))) * -0.10621138) + x26"
25,0.0038869304,"x26 + (((((x12 + ((0.3116931 / (x2 - (x8 / -0.0006034501))) + x17)) * (-0.2528786 / x2)) - (x7 - x17)) + x8) * -0.15809597)"
27,0.0037550607,"x26 + (((((x17 + ((x12 + (0.35257173 / (x2 - (x8 / -0.0002806784)))) + x8)) * -0.2069585) / x2) - (-0.04355174 - (x17 + x8))) * -0.17217238)"
29,0.003750578,"x26 + (((((-0.20163198 / x2) * (x12 + (x8 + ((0.36848167 / (x2 - (x8 / -0.00054301665))) + x17)))) - (-0.0009638985 - (x8 + x17))) * -0.16867067) - 0.0061635245)"
