Complexity,Loss,Equation
1,0.016819797,"x26"
3,0.016656037,"x26 * 0.97364295"
5,0.015171954,"(x17 * -0.08607177) + x26"
7,0.013717389,"(0.0022085127 / (x2 - 0.10646794)) + x26"
9,0.012615552,"0.92466074 * (x26 + (0.0031599095 / (x2 - 0.10647686)))"
11,0.009109483,"x26 + ((((1.1804906 - x26) * 0.09312866) / x2) - 0.112655595)"
13,0.008258398,"x26 + (((1.0178875 - x26) * (0.11617701 / x2)) * (0.11617701 / x2))"
17,0.0057895775,"(0.12759474 / x2) + ((((-0.13144946 / x2) + 1.1805899) * (x26 + (x19 * -0.1545889))) + -0.13108812)"
19,0.0049298876,"(((((x19 + x8) * -0.13587862) + x26) * ((-0.12850995 / x2) + 1.1375995)) - 0.12816674) + (0.1311462 / x2)"
21,0.004443905,"(((-0.12913348 / x2) + 1.1203473) * (x26 + ((x8 + (x19 + x2)) * -0.18270242))) + (0.20724218 / (x2 - -0.09895419))"
25,0.0043472196,"(0.11621957 / x2) + (((-0.12798108 / x2) + 1.107849) * (((((x2 * -0.14195266) * (x19 + 0.81520444)) + x26) + x8) + (x8 * -1.2239535)))"
27,0.0041833622,"(((-0.123452455 / x2) + 1.0813863) * (((x26 + (x8 * -1.2867459)) + (((x2 * (x19 + x2)) + -0.35493112) * -0.16249721)) + x8)) + (0.11426432 / x2)"
