Complexity,Loss,Equation
1,0.020427236,"x26"
3,0.020253612,"x26 + 0.0131590925"
5,0.01856113,"(0.016292721 / x2) + x26"
7,0.015646784,"x26 + (0.0027867106 / (x2 - 0.10477753))"
9,0.0073813675,"x26 + (0.004954977 / ((x2 + x8) - 0.10741736))"
11,0.007138408,"(0.004954977 / (((x2 + x8) + x8) - 0.10741736)) + x26"
13,0.0064659584,"(((x26 - 1.3062849) / (x8 + x2)) * -0.09513942) + (x26 - 0.11982612)"
15,0.0052860905,"(((x2 + ((x26 - 1.0336344) / (x2 + x8))) + x15) * -0.107027106) + x26"
17,0.0043479144,"(x26 * 1.0865074) + (((x17 + x2) + ((x26 - 0.9315446) / (x2 + x8))) * -0.12448603)"
19,0.003747433,"x26 + (((((x15 + x8) + x2) * x2) + ((x26 - 0.9973337) / (x8 + x2))) * -0.11741834)"
21,0.0034414097,"((((x26 - 1.021228) / ((x2 + x8) + x8)) + (x2 * (x2 + (x8 + x15)))) * -0.11242824) + x26"
23,0.003194755,"((x26 / 0.9044361) + ((x8 + (((x26 - 0.79482025) / (x8 + x2)) + (x2 * (x19 + x2)))) * -0.14052778)) + 0.039507236"
25,0.0031947468,"(((((((x26 - 0.7946312) / (x8 + x2)) + ((x19 + x2) * x2)) + x8) * -0.18202879) + 0.05123369) + (x26 / 0.69826984)) * 0.7719351"
27,0.0031719313,"((x26 / 0.6215049) + (0.07755951 + ((((x26 - 0.78081393) / (x2 + x8)) + (x8 + ((x2 / 0.9133875) * (x2 + x19)))) * -0.20386061))) * 0.6870288"
29,0.0031469974,"0.6870288 * ((x26 / 0.6215049) + (0.07755951 + ((((x26 - 0.78081393) / (x2 + x8)) + ((x8 + ((x2 + (x19 + x11)) * x2)) / 0.9133875)) * -0.20386061)))"
