Complexity,Loss,Equation
1,0.46979636,"0.1846594"
3,0.42868635,"x21 * 0.011209639"
5,0.3887784,"(x25 + x21) * 0.013023764"
7,0.35750654,"(x12 - (x21 + x25)) * -0.011749538"
9,0.33206314,"(x12 - (x21 + (x25 - -13.982397))) * -0.011427618"
11,0.31168026,"((x16 - ((x21 + x25) - x12)) - 18.949821) * -0.011235234"
13,0.302253,"(((x2 - -0.6035909) * (x12 - (x21 + x25))) * -0.015063187) + 0.16127792"
15,0.27170026,"((-0.015572593 * (x2 - -0.56084454)) * ((19.344816 - x21) - (x25 - x12))) - -0.5002814"
17,0.23913936,"(-0.013618487 * (x16 + (((x2 - -0.52839416) * ((31.823076 - x21) - x25)) + x12))) - -0.73736006"
19,0.23163228,"(((x12 + (x16 + (((31.81489 - x21) - x25) * (x2 - -0.53279006)))) * -0.013631138) - -0.7370285) - x6"
21,0.22695693,"((((x12 + x16) + (((23.813591 - x21) - x25) * (x2 - -0.6093479))) * -0.012845549) - -0.6069886) - (x10 * x3)"
23,0.22150841,"((((x2 - -0.5787984) * (((x2 / 0.07117909) - x21) - x25)) + (x12 + x16)) * -0.013573353) - (-1.1828598 / (2.5559483 - x9))"
25,0.22116692,"((((x2 - -0.5617478) * (((x2 / 0.07590114) - x21) - (x25 + -1.809961))) + (x12 + x16)) * -0.013713539) - (-1.1295254 / (2.3395588 - x9))"
27,0.21511535,"((x16 + ((x2 - -0.57929206) * ((((x8 - x12) / -0.58738977) - x25) + ((x2 / 0.06467016) - x21)))) * -0.012776386) - (-1.0411744 / (2.2342496 - x9))"
29,0.20955357,"(((((x8 - x12) / -0.5756925) + ((x16 + ((x2 / 0.068211585) - x21)) - x25)) * -0.01313811) * (x2 - -0.51261675)) - (-0.82598424 / (1.7751726 - (x9 * x14)))"
