Complexity,Loss,Equation
1,0.018660154,"x26"
3,0.018390559,"x26 - -0.01641384"
5,0.016670244,"(x19 * -0.10312395) + x26"
7,0.013075621,"x26 - (-0.0018760159 / (x2 + -0.109303765))"
9,0.007238383,"x26 - (-0.0052285204 / (x8 + (x2 + -0.1072167)))"
11,0.0067716944,"x26 - (-0.0093652 / (((x8 / 0.22851497) + -0.102865174) + x2))"
13,0.0062505607,"(x26 + -0.11591812) - ((-0.1243634 - (x26 * -0.095520236)) / (x2 + x8))"
15,0.0048533133,"(x19 * -0.1382112) + (((-0.1299575 - (-0.12021338 / x2)) * (1.0471528 - x26)) + x26)"
17,0.004401018,"((-0.14403173 - (-0.12575 / x2)) * (1.0091159 - x26)) + (x26 + ((x2 * -0.16621928) * x19))"
19,0.0032132189,"x26 + ((1.0084631 - x26) * (((x19 * -0.11673059) + -0.13570209) - (-0.055094212 / ((x8 + 0.4285105) * x2))))"
21,0.002832849,"(((1.0089672 - x26) * (-0.13486128 - (-0.0683433 / (x2 * (x8 + 0.53286237))))) + x26) + ((x19 * -0.16130756) * x2)"
23,0.0027375966,"x26 + ((1.0084215 - x26) * ((-0.13198188 - (-0.080150165 / (x2 * (0.62659454 + x8)))) + (x19 * ((x25 * -0.12994215) + -0.1807205))))"
25,0.002718625,"(((1.0084785 - x26) * (((((x25 * -0.13383701) + -0.18362132) * x19) + -0.12964158) - (-0.080796905 / (x2 * (x8 + 0.6312495))))) + x26) * 0.994798"
