Complexity,Loss,Equation
1,0.023593493,"x26"
3,0.023497783,"x26 * 0.9806993"
5,0.021769514,"x26 + (0.015853565 / x2)"
7,0.013444137,"x26 + (0.00092630135 / (x2 + -0.111392856))"
9,0.009502562,"x26 + (0.0047148387 / (x2 + (x8 + -0.10767398)))"
11,0.008803004,"x26 - ((((x26 + -0.99873316) / x2) / x2) * 0.012441986)"
13,0.0077221366,"(x26 - ((x26 + -1.3113574) * (0.09670158 / (x8 + x2)))) + -0.1255477"
15,0.0064452253,"(x26 - (((((x26 + -0.9773559) / x2) + x19) + 1.0035535) * 0.11092629)) / 0.8394657"
17,0.0055905706,"(x26 - ((((x19 + x8) + ((x26 + -1.0355747) / x2)) + 1.0005676) * 0.10635679)) / 0.86693186"
19,0.0051141838,"x26 - ((((x26 + -1.0803279) / x2) + (x17 + ((x8 + 0.4453348) / (0.3823144 / x2)))) * 0.10335863)"
21,0.004065773,"(x26 + ((((x26 + -0.6916797) / x2) + (x16 + ((x8 + 1.1496549) / (0.32378528 / x2)))) * -0.11883141)) - -0.35825902"
25,0.0037972769,"(x26 + 0.6006063) + ((((x16 * 1.3689017) + ((x26 + (x2 + -0.5675809)) / x2)) + ((x8 + 1.3948658) / (0.3038601 / x2))) * -0.11562655)"
27,0.003576679,"x26 + (((((((x2 + -0.57619965) + x26) / x2) + ((x8 + 1.3182751) / (0.29880473 / x2))) + (x16 * (x2 * 1.3857335))) * -0.11755819) + 0.5791004)"
29,0.0035050823,"((((((x8 + 1.410145) / (0.3385495 / x2)) + (((x26 + x2) + -0.60485685) / x2)) + ((x16 * (x22 + 1.9084456)) * x2)) * -0.11426633) + 0.53671575) + x26"
