Complexity,Loss,Equation
1,0.014726431,"x26"
3,0.014603896,"x26 / 1.0243356"
5,0.013317436,"x26 + (x19 * -0.08219125)"
7,0.01291047,"((x8 + x19) * -0.075818524) + x26"
9,0.01190409,"x26 + ((x2 + (x19 + -0.9640972)) * -0.13868244)"
11,0.008937671,"(((x2 - 0.08832189) * (x26 + -0.10691719)) - -0.09540433) / x2"
13,0.0071627707,"(x26 + -0.11715524) - (((x26 * 0.094121315) + -0.124235205) / (x8 + x2))"
15,0.0067149536,"x26 + (((x8 * -0.20039494) + -0.10621619) - (((x26 * 0.096780404) + -0.11835975) / x2))"
17,0.00638697,"(((x19 * -0.11566551) + (-0.10885711 + x26)) * 1.1592832) - ((-0.12309363 + (x26 * 0.12025863)) / x2)"
19,0.005699537,"((x8 + x19) * -0.108726084) + (((x26 * 1.1222622) - (((x26 * 0.11662459) + -0.12586312) / x2)) + -0.12161014)"
21,0.005098827,"(((x8 + x22) * x2) * -0.19067691) + (((x26 + -0.10664282) * 1.2098053) - (((x26 * 0.1353506) + -0.12790148) / x2))"
23,0.0042355317,"(((0.083288915 - (x26 * 0.11820469)) / x2) + (x26 + 0.33065933)) + (((((x8 / 0.38299066) + x16) * -0.14383364) + -0.40583888) * x2)"
25,0.0042354213,"((0.083119325 - (x26 * 0.118142076)) / x2) + ((x26 + 0.33167553) + ((((((x8 / 0.38607946) + x16) * -0.14462969) + -0.40683582) * x2) - x10))"
27,0.004192475,"((((0.07796818 - (x26 * 0.113164864)) / x2) + x26) + ((((x16 + ((x8 + (x26 * 0.06262539)) / 0.3547746)) * -0.13904132) + -0.41324636) * x2)) + 0.34281987"
