Complexity,Loss,Equation
1,0.01590858,"x26"
3,0.015708169,"x26 + 0.014156581"
5,0.014237226,"(x17 * -0.08623) + x26"
7,0.013751817,"((x19 + x8) / -11.048553) + x26"
9,0.012418454,"(((x2 + x19) - 0.96315956) * -0.14584549) + x26"
11,0.009932708,"(x26 * 0.8238469) + ((x2 - (1.07272 - x8)) * -0.36872765)"
15,0.009297774,"((((x16 * 0.1781433) + (x2 - (1.0576689 - x8))) * -0.40172926) + x26) * 0.859689"
17,0.008703036,"(x26 * 0.5700253) + (((((x26 * -0.66906613) + 1.4596134) * x2) - (1.5749013 - x8)) * -0.38036862)"
19,0.007275389,"(((((x23 + 2.0389419) + (x26 * -2.0704124)) * x2) - (2.148387 - x8)) * -0.28052104) + (x26 * 0.5237903)"
21,0.005381752,"(((x2 * (((x25 * -1.0313865) + 1.8008646) - (x16 * -0.46600202))) - (1.8648187 - x8)) * -0.43011862) + (x26 * 0.40746596)"
23,0.0048024924,"(x26 * 0.34961846) + (((x2 * ((x25 * -1.0710467) + (1.7712271 - ((x16 * x2) * -0.4437186)))) - (1.8239706 - x8)) * -0.46955657)"
25,0.004801834,"(((x2 * ((x25 * -1.0785351) + (1.7792506 - ((x16 * x2) * -0.44668823)))) - (1.83146 - x8)) * -0.46859422) + ((x26 * 0.34747958) - x7)"
27,0.004689888,"((((x2 * ((x25 * -1.1185527) + (1.7804785 - (x16 * -0.38719213)))) + ((x16 * x26) * -0.2404351)) - (1.8510907 - x8)) * -0.4729847) + (x26 * 0.32025456)"
