Complexity,Loss,Equation
1,0.014028723,"x26"
3,0.013922097,"x26 * 0.97780174"
5,0.012603322,"x26 + (x19 * -0.08263487)"
7,0.008603573,"x26 + (-7.474258e-5 / (x2 - 0.11258908))"
9,0.0080295475,"x26 + (-8.0189435e-5 / ((x2 + x8) - 0.11258898))"
11,0.007894366,"(-8.0433034e-5 / (x2 + (x8 - 0.11258908))) + (x26 / 1.0235406)"
13,0.0067962,"(-0.093713135 * (((x26 + -1.3203485) / (x2 + x8)) - -1.1896899)) + x26"
15,0.0060027884,"((((x26 + -1.4430684) / (x2 + x8)) - (-1.4430684 - x16)) * -0.0791052) + x26"
17,0.0054041063,"(((((-1.1523501 + x26) / (x8 + x2)) - (-1.1478451 - x19)) * -0.09778465) + x26) * 1.0807097"
19,0.005140812,"((((((x26 + -1.0846918) / x2) - (x25 - x19)) / (x8 - -0.9233773)) - -1.1811008) * -0.11409327) + x26"
21,0.0047126673,"x26 + (((x8 - (x26 + -1.0499138)) + (((x26 + -1.043447) / x2) - (x19 / (-0.99528193 / x2)))) * -0.123338506)"
23,0.004688308,"((((((x26 + -1.028061) / x2) - ((x19 / (-0.96325296 / x2)) - x8)) - (x26 + -1.0439066)) * -0.12507917) + x26) * 1.0134969"
25,0.0045379023,"x26 + ((((((x26 + -0.90075487) / x2) - -0.4638554) - (((x19 / (-0.9083261 / x2)) - (x2 + -0.56445706)) - x8)) - x26) * -0.13107121)"
27,0.0042532673,"((((((x26 + -0.9100782) / x2) - -0.43710223) - (((x19 + x8) / (-0.902244 / x2)) - (x2 + (-0.5912111 + x8)))) - x25) * -0.122310355) + x26"
