Complexity,Loss,Equation
1,0.011165525,"x26"
3,0.0111361155,"x26 + 0.005416688"
5,0.009575358,"x26 - (x19 * 0.08746155)"
7,0.009096048,"((x22 * -0.15828647) + x26) * 1.1342008"
9,0.0084366305,"(x26 - -0.1298745) + ((x19 + x2) * -0.137628)"
11,0.0073856846,"(x26 - -0.13864414) + (((x2 + x8) + x19) * -0.13586)"
13,0.0069423425,"(x26 - -0.21507841) + (((x2 + x8) * -0.20668478) - (x19 * 0.12140481))"
15,0.006597034,"((x26 + ((((x8 + x2) * -3.0403223) - x19) * 0.09858084)) - -0.31496) * 0.9295392"
17,0.0058340346,"(((x2 + (x13 * 0.43992063)) + x8) * (x2 * -0.38103995)) + ((x26 * 0.764806) - -0.3893458)"
19,0.0051977355,"((x26 * 0.7716405) - -0.35325873) + (x2 * ((x2 + (((x13 + x8) * 0.43953082) + x8)) * -0.33850455))"
23,0.0048641236,"((((x2 + x8) * -0.70101935) + (((x13 + (x26 * x26)) * ((x8 + -0.5369448) * 0.43778786)) + 0.73396015)) + x26) * 0.77465105"
25,0.0046770526,"(x26 + (((x2 + x8) * -0.71593) + (0.7487068 + ((x8 + -0.53266436) * (0.45549086 * ((x26 * (x8 + x25)) + x13)))))) * 0.77058095"
27,0.0045852936,"(((((-1.5960598 * (x2 + x8)) + ((-0.52706254 + x8) * (((x26 + x8) * x26) + x13))) * 0.31801653) - -0.41421252) + 0.11776819) + (x26 * 0.797041)"
