Complexity,Loss,Equation
1,0.0121816015,"x26"
3,0.012113372,"x26 * 0.98225915"
5,0.010732355,"x26 + (x19 * -0.08128265)"
7,0.010303062,"((x19 + x8) * -0.07505344) + x26"
9,0.009420967,"x26 + ((x19 + (x2 - 0.9622867)) * -0.13526343)"
11,0.0073178518,"x26 + ((((x26 - 1.2495879) / x2) + 1.2495879) * -0.083659075)"
13,0.005653524,"x26 + ((((x26 - 1.0825297) / (x8 + x2)) + x2) * -0.10303045)"
15,0.0041209976,"(x26 + ((((x2 + (x26 - 0.99490005)) / x2) + x19) * -0.10917161)) * 1.1830664"
17,0.0033355118,"(x26 + (((x2 + (((x26 - 0.98698497) / x2) + x8)) + x19) * -0.10714108)) * 1.1209549"
19,0.0028098428,"(x26 + ((((x8 + x19) * x2) + ((x2 + (x26 - 0.981099)) / x2)) * -0.11904272)) / 0.8596633"
21,0.0024865903,"(((((((x19 + x8) + x8) * x2) + x2) + ((x26 - 0.955321) / x2)) * -0.11641281) + x26) * 1.0905164"
23,0.002320967,"((((x2 * (x8 + (x19 + x2))) + (((x26 - 0.9026452) / x2) + x8)) * -0.13029648) - -0.026959797) + (x26 * 1.1019614)"
25,0.0021533614,"((x26 - -0.019221876) * 1.1016684) + (((x2 * (x8 + (((x8 + x19) * 1.308849) + x2))) + ((x26 - 0.8924402) / x2)) * -0.1254034)"
27,0.0021533596,"((x26 * 1.1017027) + ((((x2 * (x8 + (((x19 + x8) * 1.3092858) + x2))) + ((x26 - 0.8924849) / x2)) * -0.12539217) + 0.038085125)) + -0.016933821"
29,0.002151193,"((x26 - -0.00729217) * 1.0988892) + ((((((x26 - 0.89097995) * 0.9745509) / x2) + (x2 * (x2 + (((x8 + x19) * 1.3073417) + x8)))) * -0.12652235) - -0.016378598)"
