Complexity,Loss,Equation
1,0.029271912,"x26"
3,0.02854163,"x26 / 1.0588106"
5,0.025741613,"(0.02462251 / x2) + x26"
7,0.021135092,"x26 + (0.0051170494 / (x2 + -0.10160225))"
9,0.015448538,"x26 + (((0.95683247 - x26) / x2) * 0.06614182)"
11,0.0081276195,"(((1.0161582 - x26) * 0.010009588) / (x2 + -0.10051531)) + x26"
13,0.0075020427,"((((1.0138712 - x26) / x2) - (x8 + x2)) * 0.09610196) + x26"
15,0.006308506,"((((1.0138712 - x26) / x2) - (x15 + (x8 + x2))) * 0.09610196) + x26"
17,0.0057405457,"(((((1.0138712 - x26) / x2) - ((x16 + x8) + x2)) * 0.09610196) + x26) * 1.0453165"
21,0.0049733673,"(x26 * 1.1027404) + (((((1.0271559 - x26) - ((x19 + x8) * (x2 + -0.1764427))) / x2) + -1.0716) * 0.11511209)"
23,0.004443938,"((((((1.0100763 - x26) - ((x2 + -0.19626248) * ((x19 + x8) * 1.4993252))) / x2) + -1.0349226) * 0.10247851) + x26) * 1.1100156"
25,0.0043688742,"(x26 + (((((1.0250393 - x26) - ((((x8 * x2) + x19) * (x2 + -0.1777659)) * 1.5134376)) / x2) + -1.0634315) * 0.10233631)) * 1.1090795"
27,0.0042773946,"(x26 + (((((1.0308951 - x26) - ((x2 + -0.19365822) * (((x8 + x8) * x2) + (x19 * 1.4933261)))) / x2) + -1.0625271) * 0.10258612)) * 1.0982336"
